Addison,36777
Bennington,35470
Caledonia,29993
Chittenden,163774
Essex,6163
Franklin,49402
Grand Isle,7235
Lamoille,25362
Orange,28892
Orleans,27037
Rutland,58191
Washington,58409
Windham,42222
Windsor,55062
