state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,1619340.0,1016677.0,411387.0,39719.0
Illinois,17,2924925.0,1742360.0,560403.0,69331.0
California,06,9178020.0,5426591.0,1974488.0,233297.0
Arizona,04,1688255.0,1087921.0,376371.0,54360.0
Massachusetts,25,1737170.0,1054948.0,367709.0,48704.0
Wisconsin,55,1301825.0,858185.0,359360.0,39315.0
Texas,48,5652800.0,3267255.0,1400924.0,77160.0
Nebraska,31,482975.0,252022.0,118472.0,12421.0
Utah,49,658750.0,356371.0,146286.0,14330.0
Oregon,41,924575.0,552058.0,265789.0,21486.0
Florida,12,5120975.0,2877011.0,1481148.0,131314.0
New York,36,4171175.0,2369520.0,1167934.0,99541.0
Rhode Island,44,246175.0,136915.0,61609.0,8210.0
Georgia,13,2292085.0,1202374.0,609520.0,59020.0
New Hampshire,33,328525.0,179139.0,81490.0,7467.0
North Carolina,37,2363200.0,1373952.0,691447.0,64439.0
New Jersey,34,1917150.0,1172226.0,510377.0,48529.0
Colorado,08,1348800.0,817009.0,378242.0,39336.0
Maryland,24,1450000.0,743806.0,342271.0,33824.0
Nevada,32,646450.0,400079.0,165269.0,20198.0
Tennessee,47,1478150.0,757333.0,355245.0,21434.0
Hawaii,15,397750.0,219881.0,102818.0,13968.0
Indiana,18,1487400.0,874152.0,393133.0,30138.0
Kentucky,21,1006050.0,566677.0,253857.0,20748.0
Minnesota,27,1284150.0,788468.0,344300.0,38014.0
Oklahoma,40,1061775.0,584493.0,274345.0,26230.0
Pennsylvania,42,2989725.0,1667727.0,631998.0,69214.0
South Carolina,45,1066275.0,638364.0,254826.0,29498.0
District of Columbia,11,225125.0,109045.0,53244.0,5909.0
Kansas,20,645800.0,356901.0,148378.0,17050.0
Missouri,29,1275555.0,736999.0,336446.0,33671.0
Vermont,50,163550.0,91923.0,45017.0,4337.0
Virginia,51,1949525.0,1172647.0,501118.0,50009.0
Connecticut,09,984275.0,579380.0,270792.0,26547.0
Iowa,19,707865.0,445872.0,147615.0,20425.0
Louisiana,22,1042225.0,590652.0,301923.0,17909.0
Ohio,39,2518775.0,1486509.0,649412.0,64109.0
Michigan,26,2279240.0,1267083.0,647617.0,46954.0
South Dakota,46,266970.0,156792.0,75719.0,10357.0
Arkansas,05,691525.0,367436.0,157511.0,7990.0
Delaware,10,204200.0,133251.0,46803.0,4929.0
Mississippi,28,650750.0,349797.0,140550.0,9131.0
New Mexico,35,605885.0,394841.0,194771.0,25153.0
North Dakota,38,198650.0,126909.0,65293.0,6499.0
Wyoming,56,150905.0,89605.0,39474.0,4339.0
Alaska,02,299935.0,152349.0,82272.0,7330.0
Maine,23,335375.0,190495.0,76101.0,10778.0
Alabama,01,1082100.0,567505.0,219639.0,25194.0
Idaho,16,358200.0,222381.0,92265.0,12006.0
Montana,30,259215.0,165472.0,70876.0,8613.0
West Virginia,54,481225.0,290411.0,173068.0,10990.0
