state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,829950.0,330357.0,62152.0,22933.0
Illinois,17,1209300.0,479848.0,120754.0,24248.0
California,06,4714625.0,1477195.0,321839.0,104389.0
Arizona,04,822050.0,280227.0,48938.0,18895.0
Massachusetts,25,854950.0,318630.0,51662.0,16207.0
Wisconsin,55,597225.0,221067.0,37901.0,13003.0
Texas,48,2884425.0,1412767.0,230596.0,69220.0
Nebraska,31,238100.0,99571.0,18086.0,3894.0
Utah,49,341725.0,175364.0,20697.0,10646.0
Oregon,41,487700.0,218413.0,34536.0,15365.0
Florida,12,2616250.0,1186719.0,124582.0,65899.0
New York,36,2367075.0,1048453.0,142005.0,63790.0
Rhode Island,44,136225.0,49932.0,12023.0,2061.0
Georgia,13,1235375.0,533665.0,59925.0,53169.0
New Hampshire,33,162950.0,72979.0,12575.0,3297.0
North Carolina,37,1192375.0,450144.0,74427.0,31727.0
New Jersey,34,951875.0,406494.0,56213.0,21042.0
Colorado,08,671200.0,313217.0,62086.0,15007.0
Maryland,24,722625.0,256221.0,30877.0,13258.0
Nevada,32,281100.0,105222.0,20345.0,6112.0
Tennessee,47,798450.0,324543.0,76162.0,14037.0
Hawaii,15,191375.0,67991.0,16802.0,5405.0
Indiana,18,839925.0,340055.0,73986.0,21974.0
Kentucky,21,466700.0,229873.0,22568.0,11342.0
Minnesota,27,677100.0,223957.0,53940.0,11426.0
Oklahoma,40,496350.0,247954.0,37435.0,12013.0
Pennsylvania,42,1465850.0,539431.0,112692.0,29248.0
South Carolina,45,453150.0,189170.0,38183.0,15309.0
District of Columbia,11,90225.0,44773.0,12045.0,2419.0
Kansas,20,336475.0,116569.0,19325.0,5616.0
Missouri,29,657700.0,217597.0,66699.0,13607.0
Vermont,50,84825.0,38432.0,7954.0,1997.0
Virginia,51,1067775.0,353808.0,46004.0,22459.0
Connecticut,09,477250.0,248753.0,33149.0,14511.0
Iowa,19,338950.0,145642.0,22429.0,7089.0
Louisiana,22,506200.0,256670.0,40385.0,14241.0
Ohio,39,1222225.0,500557.0,44761.0,24296.0
Michigan,26,1094275.0,497958.0,92473.0,33039.0
South Dakota,46,100275.0,56762.0,13831.0,1934.0
Arkansas,05,362050.0,167788.0,31600.0,11905.0
Delaware,10,116325.0,45292.0,8847.0,3310.0
Mississippi,28,346400.0,136902.0,13423.0,9457.0
New Mexico,35,248300.0,130211.0,29278.0,8963.0
North Dakota,38,86750.0,51018.0,12428.0,2528.0
Wyoming,56,69650.0,29993.0,4515.0,1686.0
Alaska,02,155500.0,67262.0,13718.0,4580.0
Maine,23,176400.0,70193.0,14893.0,3609.0
Alabama,01,519525.0,174317.0,24840.0,14107.0
Idaho,16,181100.0,64295.0,13075.0,4479.0
Montana,30,119500.0,54453.0,11878.0,2426.0
West Virginia,54,231800.0,145361.0,35390.0,6651.0
