state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,5999170.0,3070660.0,2050248.0,75686.0
Illinois,17,10246165.0,5284445.0,3183082.0,118068.0
California,06,32618010.0,17076851.0,9897558.0,476835.0
Arizona,04,5738495.0,2725197.0,1780037.0,54391.0
Massachusetts,25,5967370.0,3333025.0,2021713.0,85819.0
Wisconsin,55,4542495.0,2460671.0,1679214.0,58402.0
Texas,48,21453555.0,10146230.0,6458707.0,225630.0
Nebraska,31,1556360.0,781202.0,532581.0,19616.0
Utah,49,2166920.0,1136303.0,623854.0,29790.0
Oregon,41,3219255.0,1637060.0,1053435.0,39079.0
Florida,12,17807745.0,8200956.0,5221061.0,212170.0
New York,36,16098245.0,8322102.0,5576166.0,209841.0
Rhode Island,44,895785.0,475139.0,334820.0,11353.0
Georgia,13,8033225.0,3443914.0,2025794.0,113539.0
New Hampshire,33,1096375.0,792262.0,386859.0,20183.0
North Carolina,37,8309510.0,3807889.0,2594167.0,86225.0
New Jersey,34,7169475.0,4082643.0,2637550.0,96985.0
Colorado,08,4515250.0,2418793.0,1482555.0,64895.0
Maryland,24,4967520.0,2581378.0,1679382.0,68730.0
Nevada,32,2202110.0,1123822.0,739071.0,25933.0
Tennessee,47,5103860.0,2184332.0,1395098.0,43957.0
Hawaii,15,1269070.0,560693.0,402153.0,14637.0
Indiana,18,4775740.0,2235127.0,1534209.0,46237.0
Kentucky,21,3429405.0,1730961.0,1232184.0,39617.0
Minnesota,27,4194140.0,2380215.0,1624725.0,54971.0
Oklahoma,40,3385565.0,1458109.0,1032400.0,23227.0
Pennsylvania,42,10649235.0,5525174.0,3346275.0,136864.0
South Carolina,45,3914045.0,1769087.0,1191167.0,36420.0
District of Columbia,11,683975.0,288396.0,165820.0,8237.0
Kansas,20,2361115.0,1169036.0,771917.0,25211.0
Missouri,29,4715505.0,2105299.0,1418385.0,51700.0
Vermont,50,570360.0,294659.0,194015.0,8302.0
Virginia,51,6777945.0,3590206.0,2266985.0,85988.0
Connecticut,09,3395165.0,1744185.0,1127897.0,45538.0
Iowa,19,2481445.0,1288328.0,895032.0,28233.0
Louisiana,22,3513250.0,1438593.0,1083119.0,24644.0
Ohio,39,9214895.0,4406863.0,3076770.0,125600.0
Michigan,26,7872710.0,3860219.0,2596633.0,94626.0
South Dakota,46,802795.0,380338.0,275463.0,5888.0
Arkansas,05,2370830.0,1010421.0,651184.0,20359.0
Delaware,10,818475.0,405029.0,249397.0,10349.0
Mississippi,28,2246015.0,875338.0,632832.0,14800.0
New Mexico,35,1882565.0,1002327.0,677945.0,17765.0
North Dakota,38,590480.0,289263.0,225263.0,4873.0
Wyoming,56,468615.0,186359.0,139721.0,1857.0
Alaska,02,746705.0,290503.0,234553.0,7745.0
Maine,23,1144750.0,652227.0,433691.0,17612.0
Alabama,01,3664740.0,1481314.0,943129.0,29953.0
Idaho,16,1283065.0,572799.0,414466.0,9230.0
Montana,30,899445.0,406872.0,291091.0,6164.0
West Virginia,54,1522165.0,618986.0,476666.0,8501.0
