state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,1031400.0,524466.0,108221.0,29565.0
Illinois,17,1696575.0,733006.0,197643.0,42007.0
California,06,5666150.0,2563559.0,524350.0,155366.0
Arizona,04,1013375.0,469916.0,86990.0,28059.0
Massachusetts,25,1060900.0,438852.0,106799.0,22016.0
Wisconsin,55,795050.0,375931.0,71976.0,23517.0
Texas,48,3659550.0,1886813.0,452040.0,87541.0
Nebraska,31,288375.0,125263.0,41093.0,6172.0
Utah,49,401375.0,227616.0,45874.0,11967.0
Oregon,41,665325.0,314964.0,66188.0,15990.0
Florida,12,3396350.0,1610425.0,274211.0,57314.0
New York,36,2932775.0,1417373.0,303102.0,72774.0
Rhode Island,44,173225.0,65668.0,22401.0,3549.0
Georgia,13,1449800.0,729117.0,109311.0,36097.0
New Hampshire,33,217100.0,96148.0,27544.0,4846.0
North Carolina,37,1423475.0,762635.0,135263.0,45961.0
New Jersey,34,1232525.0,649035.0,117791.0,38294.0
Colorado,08,813400.0,423054.0,118770.0,24010.0
Maryland,24,884650.0,398387.0,76905.0,24053.0
Nevada,32,368800.0,191175.0,31783.0,12452.0
Tennessee,47,998875.0,416716.0,155936.0,21427.0
Hawaii,15,227400.0,96743.0,23758.0,5101.0
Indiana,18,931500.0,495746.0,111233.0,23022.0
Kentucky,21,650150.0,324581.0,59367.0,16434.0
Minnesota,27,837550.0,376632.0,107528.0,25793.0
Oklahoma,40,594925.0,339382.0,68510.0,15071.0
Pennsylvania,42,1976925.0,819889.0,209964.0,48079.0
South Carolina,45,560150.0,339544.0,66286.0,22672.0
District of Columbia,11,148525.0,59570.0,17029.0,2411.0
Kansas,20,413350.0,168343.0,36738.0,8802.0
Missouri,29,835400.0,313161.0,92389.0,16674.0
Vermont,50,99750.0,48473.0,15213.0,2050.0
Virginia,51,1232350.0,648378.0,110877.0,50946.0
Connecticut,09,578600.0,340886.0,73706.0,16342.0
Iowa,19,417900.0,182537.0,52324.0,8252.0
Louisiana,22,648925.0,355024.0,65136.0,15126.0
Ohio,39,1553900.0,759337.0,150948.0,45154.0
Michigan,26,1362600.0,734903.0,175117.0,38537.0
South Dakota,46,130700.0,74229.0,28547.0,3664.0
Arkansas,05,453700.0,233935.0,52118.0,12425.0
Delaware,10,143775.0,76980.0,14956.0,4641.0
Mississippi,28,425000.0,199419.0,22816.0,10280.0
New Mexico,35,317900.0,195327.0,50153.0,9089.0
North Dakota,38,108050.0,66885.0,22968.0,3227.0
Wyoming,56,85750.0,41441.0,7674.0,1658.0
Alaska,02,193150.0,91794.0,23320.0,3846.0
Maine,23,212125.0,99468.0,31055.0,5581.0
Alabama,01,659400.0,288368.0,53742.0,17271.0
Idaho,16,221550.0,93632.0,20148.0,4584.0
Montana,30,141650.0,75432.0,23785.0,3818.0
West Virginia,54,305200.0,191225.0,65165.0,8794.0
