state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,3396560.0,1714661.0,975197.0,58644.0
Illinois,17,5531315.0,2856270.0,1551538.0,111141.0
California,06,17386130.0,8540236.0,4153287.0,251553.0
Arizona,04,3137385.0,1655300.0,939580.0,58490.0
Massachusetts,25,3069880.0,1759203.0,911506.0,58190.0
Wisconsin,55,2528285.0,1356659.0,768454.0,45496.0
Texas,48,11362975.0,5601318.0,2897500.0,194431.0
Nebraska,31,871170.0,449836.0,258407.0,14698.0
Utah,49,1212030.0,626747.0,274333.0,21514.0
Oregon,41,1802395.0,905439.0,518520.0,27186.0
Florida,12,9824045.0,4436541.0,2498540.0,176638.0
New York,36,8618515.0,4404294.0,2160663.0,149501.0
Rhode Island,44,491495.0,283670.0,119774.0,9034.0
Georgia,13,4188145.0,1707798.0,1048574.0,57724.0
New Hampshire,33,581545.0,339922.0,161024.0,11078.0
North Carolina,37,4339140.0,2293986.0,1289585.0,93581.0
New Jersey,34,3656595.0,2199384.0,1129830.0,76470.0
Colorado,08,2345060.0,1239039.0,728689.0,42517.0
Maryland,24,2583900.0,1363597.0,765676.0,45485.0
Nevada,32,1188400.0,644080.0,363581.0,22167.0
Tennessee,47,2744960.0,1265605.0,674887.0,41859.0
Hawaii,15,718390.0,339603.0,211174.0,11718.0
Indiana,18,2786140.0,1323727.0,859950.0,39686.0
Kentucky,21,1942585.0,1051308.0,543741.0,36245.0
Minnesota,27,2350780.0,1358707.0,739883.0,42737.0
Oklahoma,40,2057835.0,960142.0,517951.0,25874.0
Pennsylvania,42,5533725.0,2901757.0,1442681.0,116653.0
South Carolina,45,2042685.0,1049599.0,589423.0,32823.0
District of Columbia,11,398805.0,128836.0,67181.0,5965.0
Kansas,20,1264705.0,628555.0,334212.0,23636.0
Missouri,29,2433085.0,1212720.0,651541.0,37252.0
Vermont,50,309820.0,156682.0,82273.0,5697.0
Virginia,51,3597985.0,1938252.0,1103311.0,61944.0
Connecticut,09,1749215.0,964706.0,517141.0,30664.0
Iowa,19,1342995.0,755782.0,428963.0,28947.0
Louisiana,22,2048220.0,945870.0,554135.0,29733.0
Ohio,39,5027395.0,2466334.0,1446823.0,86746.0
Michigan,26,4269320.0,2105973.0,1191877.0,65473.0
South Dakota,46,459375.0,245286.0,138707.0,7593.0
Arkansas,05,1332600.0,589436.0,314915.0,16330.0
Delaware,10,436865.0,211783.0,122819.0,7618.0
Mississippi,28,1249855.0,595233.0,329647.0,17927.0
New Mexico,35,1107735.0,621579.0,363688.0,18783.0
North Dakota,38,362400.0,198709.0,113616.0,6264.0
Wyoming,56,270015.0,130020.0,81809.0,4022.0
Alaska,02,484795.0,206403.0,133907.0,5280.0
Maine,23,624990.0,354594.0,192866.0,13699.0
Alabama,01,2004160.0,871536.0,511869.0,27331.0
Idaho,16,718305.0,348653.0,215214.0,10980.0
Montana,30,483525.0,254359.0,152426.0,8303.0
West Virginia,54,876775.0,421226.0,262477.0,11901.0
