state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,5224180.0,2606688.0,1649313.0,72860.0
Illinois,17,8911325.0,4529802.0,2469095.0,112498.0
California,06,27861050.0,14123008.0,7599559.0,377051.0
Arizona,04,4958025.0,2412162.0,1453432.0,55514.0
Massachusetts,25,5132600.0,2760594.0,1580322.0,80986.0
Wisconsin,55,3890685.0,2124005.0,1302712.0,56942.0
Texas,48,18678115.0,8657293.0,5069262.0,267858.0
Nebraska,31,1341650.0,677348.0,426200.0,15705.0
Utah,49,1918060.0,965304.0,468812.0,27485.0
Oregon,41,2869625.0,1372306.0,844551.0,38117.0
Florida,12,15300445.0,6887386.0,4111383.0,188503.0
New York,36,13891405.0,7034356.0,4404749.0,264244.0
Rhode Island,44,768415.0,399063.0,275166.0,13191.0
Georgia,13,6990615.0,2983960.0,1536865.0,84425.0
New Hampshire,33,948915.0,613483.0,293087.0,21544.0
North Carolina,37,7170880.0,3357860.0,2016649.0,72987.0
New Jersey,34,6172285.0,3453842.0,2077411.0,100405.0
Colorado,08,3963630.0,2010121.0,1181330.0,54810.0
Maryland,24,4301460.0,2178797.0,1300334.0,64008.0
Nevada,32,1976580.0,957169.0,586035.0,23236.0
Tennessee,47,4397270.0,1938090.0,1128731.0,47562.0
Hawaii,15,1122660.0,495709.0,322180.0,11593.0
Indiana,18,4203150.0,1932011.0,1298097.0,45393.0
Kentucky,21,3039575.0,1541820.0,953326.0,38859.0
Minnesota,27,3713950.0,2025504.0,1286847.0,55207.0
Oklahoma,40,3065345.0,1351773.0,855150.0,31921.0
Pennsylvania,42,9108805.0,4552690.0,2479698.0,91541.0
South Carolina,45,3397395.0,1582840.0,943051.0,42821.0
District of Columbia,11,595475.0,230713.0,121675.0,6495.0
Kansas,20,2069155.0,1028901.0,593710.0,30349.0
Missouri,29,4059295.0,1811686.0,1139410.0,56275.0
Vermont,50,493850.0,241043.0,145510.0,7337.0
Virginia,51,5765055.0,3096648.0,1769743.0,86215.0
Connecticut,09,2873725.0,1447944.0,887812.0,40945.0
Iowa,19,2172805.0,1098646.0,712554.0,28207.0
Louisiana,22,3124520.0,1326416.0,893502.0,28021.0
Ohio,39,8155225.0,3900595.0,2355045.0,108169.0
Michigan,26,6843720.0,3259375.0,2039778.0,85497.0
South Dakota,46,721735.0,344121.0,229617.0,7883.0
Arkansas,05,2035230.0,897978.0,518824.0,24232.0
Delaware,10,708185.0,349683.0,187560.0,8959.0
Mississippi,28,2005305.0,793569.0,528936.0,18507.0
New Mexico,35,1658365.0,888767.0,570641.0,19457.0
North Dakota,38,535460.0,268305.0,182852.0,6216.0
Wyoming,56,436025.0,169230.0,120094.0,2655.0
Alaska,02,692995.0,263119.0,186597.0,4537.0
Maine,23,998660.0,540200.0,336903.0,16297.0
Alabama,01,3170520.0,1317995.0,764450.0,29195.0
Idaho,16,1117825.0,517824.0,343296.0,12618.0
Montana,30,788065.0,368338.0,240928.0,8886.0
West Virginia,54,1315275.0,583217.0,395951.0,11088.0
