state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,2166300.0,1081544.0,515850.0,35285.0
Illinois,17,3557335.0,1923246.0,703902.0,66470.0
California,06,11297300.0,5862161.0,2380502.0,192335.0
Arizona,04,2143135.0,1168054.0,462074.0,42127.0
Massachusetts,25,2068660.0,1162144.0,445006.0,44151.0
Wisconsin,55,1588265.0,909389.0,439535.0,31793.0
Texas,48,7419305.0,3381100.0,1682309.0,104351.0
Nebraska,31,582930.0,293300.0,143678.0,13508.0
Utah,49,816550.0,378359.0,168912.0,11132.0
Oregon,41,1177945.0,595929.0,322835.0,22889.0
Florida,12,6083555.0,2976245.0,1616247.0,72297.0
New York,36,5627205.0,2525442.0,1325906.0,72524.0
Rhode Island,44,304145.0,167665.0,67700.0,7595.0
Georgia,13,2840015.0,1239379.0,705985.0,41854.0
New Hampshire,33,398575.0,215730.0,94796.0,8355.0
North Carolina,37,2906485.0,1451906.0,801324.0,46498.0
New Jersey,34,2479720.0,1348635.0,670703.0,48381.0
Colorado,08,1658660.0,876097.0,439201.0,27248.0
Maryland,24,1817795.0,842829.0,438535.0,32617.0
Nevada,32,858340.0,427656.0,203549.0,17176.0
Tennessee,47,1877820.0,821513.0,416149.0,24822.0
Hawaii,15,494020.0,237956.0,123174.0,8248.0
Indiana,18,1832150.0,965809.0,523102.0,44421.0
Kentucky,21,1305725.0,654232.0,316028.0,23723.0
Minnesota,27,1590390.0,852799.0,411197.0,29997.0
Oklahoma,40,1385540.0,647372.0,345705.0,27507.0
Pennsylvania,42,3806965.0,1804661.0,752848.0,53951.0
South Carolina,45,1294405.0,710435.0,313285.0,25323.0
District of Columbia,11,280955.0,76194.0,34923.0,2705.0
Kansas,20,861645.0,405241.0,185731.0,13437.0
Missouri,29,1670085.0,774707.0,379109.0,28457.0
Vermont,50,206910.0,98746.0,49372.0,3417.0
Virginia,51,2428885.0,1267905.0,636415.0,39615.0
Connecticut,09,1190995.0,650134.0,291338.0,18791.0
Iowa,19,872345.0,491323.0,163243.0,14481.0
Louisiana,22,1281480.0,617832.0,343923.0,16953.0
Ohio,39,3282255.0,1593638.0,804998.0,59061.0
Michigan,26,2679290.0,1399281.0,780148.0,47438.0
South Dakota,46,319230.0,172279.0,86836.0,5908.0
Arkansas,05,861230.0,394906.0,200532.0,11531.0
Delaware,10,291715.0,138321.0,59922.0,4063.0
Mississippi,28,842935.0,387299.0,185527.0,13282.0
New Mexico,35,736165.0,438670.0,224643.0,13505.0
North Dakota,38,245200.0,134672.0,69636.0,4329.0
Wyoming,56,194055.0,95024.0,48449.0,3038.0
Alaska,02,332415.0,161595.0,92233.0,5444.0
Maine,23,411790.0,212039.0,96724.0,5331.0
Alabama,01,1380380.0,627063.0,286095.0,22104.0
Idaho,16,459355.0,243714.0,116397.0,8924.0
Montana,30,319315.0,179212.0,81811.0,5681.0
West Virginia,54,571155.0,302863.0,189352.0,8757.0
