state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,1129025.0,599313.0,130908.0,33451.0
Illinois,17,1859850.0,831556.0,223026.0,47870.0
California,06,5670500.0,2940488.0,592045.0,156749.0
Arizona,04,1082050.0,534476.0,96660.0,28681.0
Massachusetts,25,1039775.0,497445.0,126560.0,26111.0
Wisconsin,55,900250.0,437456.0,81523.0,29134.0
Texas,48,4092150.0,1991555.0,502794.0,82619.0
Nebraska,31,297375.0,134877.0,46523.0,6754.0
Utah,49,427225.0,245534.0,63286.0,13460.0
Oregon,41,684000.0,353035.0,83898.0,18605.0
Florida,12,3657775.0,1712327.0,329176.0,67522.0
New York,36,2987075.0,1541235.0,353127.0,73211.0
Rhode Island,44,176150.0,73486.0,26027.0,3897.0
Georgia,13,1557175.0,790354.0,129885.0,38782.0
New Hampshire,33,226850.0,103364.0,32381.0,5542.0
North Carolina,37,1490350.0,819119.0,155973.0,39490.0
New Jersey,34,1235350.0,697318.0,137096.0,37264.0
Colorado,08,871875.0,464938.0,132752.0,20514.0
Maryland,24,899675.0,448177.0,88359.0,24503.0
Nevada,32,417175.0,214342.0,37568.0,12687.0
Tennessee,47,990975.0,450633.0,179546.0,23422.0
Hawaii,15,246550.0,110757.0,27156.0,6308.0
Indiana,18,1091375.0,499215.0,112864.0,16209.0
Kentucky,21,684700.0,350622.0,66852.0,15339.0
Minnesota,27,824450.0,431172.0,119631.0,27466.0
Oklahoma,40,616775.0,362529.0,80465.0,16686.0
Pennsylvania,42,1987200.0,916235.0,236995.0,50799.0
South Carolina,45,659950.0,385908.0,81203.0,21926.0
District of Columbia,11,147125.0,64241.0,19218.0,2686.0
Kansas,20,413350.0,185065.0,44420.0,10351.0
Missouri,29,824100.0,358762.0,104063.0,18019.0
Vermont,50,109825.0,54994.0,18903.0,2801.0
Virginia,51,1306800.0,742017.0,132292.0,43769.0
Connecticut,09,574650.0,361495.0,86602.0,16207.0
Iowa,19,415325.0,195234.0,61085.0,8791.0
Louisiana,22,736850.0,378574.0,96606.0,18620.0
Ohio,39,1717875.0,854741.0,189502.0,48159.0
Michigan,26,1608250.0,801811.0,200265.0,39030.0
South Dakota,46,142500.0,77125.0,30803.0,3597.0
Arkansas,05,467800.0,251841.0,59903.0,11169.0
Delaware,10,143775.0,85143.0,18040.0,5038.0
Mississippi,28,438100.0,214460.0,25408.0,8302.0
New Mexico,35,351050.0,213941.0,60740.0,9640.0
North Dakota,38,122050.0,71735.0,26493.0,3505.0
Wyoming,56,89450.0,48255.0,9848.0,2526.0
Alaska,02,196975.0,97076.0,26207.0,3613.0
Maine,23,221875.0,109917.0,34299.0,5837.0
Alabama,01,680550.0,312711.0,58825.0,16703.0
Idaho,16,216975.0,102959.0,22725.0,4697.0
Montana,30,141650.0,81420.0,25824.0,4225.0
West Virginia,54,325100.0,194301.0,69893.0,7673.0
