state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,1429050.0,797359.0,229588.0,34669.0
Illinois,17,2455500.0,1243706.0,330108.0,60923.0
California,06,7822300.0,4108216.0,990128.0,201580.0
Arizona,04,1391475.0,747599.0,192542.0,36494.0
Massachusetts,25,1445425.0,715308.0,207392.0,38812.0
Wisconsin,55,1080700.0,640058.0,176673.0,39623.0
Texas,48,5091325.0,2745305.0,960517.0,129014.0
Nebraska,31,405600.0,172690.0,73704.0,7536.0
Utah,49,579600.0,307059.0,105704.0,22400.0
Oregon,41,840475.0,434561.0,152361.0,16722.0
Florida,12,4318675.0,2118750.0,823514.0,104854.0
New York,36,3843300.0,1869595.0,668178.0,80062.0
Rhode Island,44,211650.0,89723.0,38158.0,3436.0
Georgia,13,2017525.0,967179.0,279546.0,37854.0
New Hampshire,33,298075.0,130806.0,53145.0,5574.0
North Carolina,37,1938075.0,1050246.0,330758.0,45597.0
New Jersey,34,1770250.0,911345.0,280021.0,49279.0
Colorado,08,1162775.0,570979.0,239804.0,25169.0
Maryland,24,1188600.0,563324.0,181380.0,25665.0
Nevada,32,533800.0,299502.0,77555.0,12497.0
Tennessee,47,1295675.0,595081.0,267820.0,26016.0
Hawaii,15,308300.0,150648.0,49969.0,7073.0
Indiana,18,1351325.0,637068.0,194281.0,22977.0
Kentucky,21,882200.0,454145.0,151297.0,21774.0
Minnesota,27,1121000.0,575084.0,176482.0,17116.0
Oklahoma,40,815475.0,452166.0,172509.0,20568.0
Pennsylvania,42,2540475.0,1215755.0,373882.0,53677.0
South Carolina,45,779500.0,487418.0,133648.0,18723.0
District of Columbia,11,193600.0,79776.0,31786.0,2518.0
Kansas,20,564000.0,248979.0,81948.0,11643.0
Missouri,29,1058775.0,524638.0,163157.0,27112.0
Vermont,50,137925.0,67024.0,29713.0,2816.0
Virginia,51,1589875.0,945182.0,247784.0,39162.0
Connecticut,09,812325.0,437058.0,154639.0,16918.0
Iowa,19,579200.0,282596.0,99986.0,15445.0
Louisiana,22,894850.0,448139.0,189574.0,18434.0
Ohio,39,2293650.0,1107677.0,349390.0,47299.0
Michigan,26,1895500.0,997466.0,398177.0,47606.0
South Dakota,46,181725.0,97817.0,43827.0,3722.0
Arkansas,05,593775.0,316972.0,110751.0,13225.0
Delaware,10,182225.0,105760.0,26864.0,3227.0
Mississippi,28,601625.0,286055.0,78802.0,16356.0
New Mexico,35,428675.0,264105.0,101665.0,10757.0
North Dakota,38,155375.0,90939.0,40721.0,3817.0
Wyoming,56,118875.0,61170.0,18180.0,2677.0
Alaska,02,270250.0,116001.0,46006.0,4620.0
Maine,23,299375.0,141778.0,49721.0,5687.0
Alabama,01,911875.0,431259.0,111036.0,19258.0
Idaho,16,319825.0,159796.0,43231.0,10309.0
Montana,30,192125.0,109266.0,39710.0,4742.0
West Virginia,54,387400.0,226323.0,114445.0,9147.0
