state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,3586880.0,1858543.0,1063781.0,55386.0
Illinois,17,5909425.0,3147727.0,1723407.0,89843.0
California,06,18875980.0,9562989.0,4792324.0,342038.0
Arizona,04,3461245.0,1762337.0,1004408.0,48762.0
Massachusetts,25,3321910.0,1932142.0,1021600.0,49639.0
Wisconsin,55,2614965.0,1488169.0,863234.0,38826.0
Texas,48,12613635.0,6195559.0,3084094.0,166754.0
Nebraska,31,941420.0,480879.0,286766.0,12782.0
Utah,49,1321750.0,650394.0,287217.0,13321.0
Oregon,41,1934665.0,978493.0,565879.0,27132.0
Florida,12,10691345.0,4963147.0,2787613.0,138571.0
New York,36,9586045.0,4846355.0,2358465.0,127243.0
Rhode Island,44,513495.0,299515.0,148748.0,10437.0
Georgia,13,4553155.0,1920080.0,1138530.0,61709.0
New Hampshire,33,651805.0,368356.0,178005.0,9188.0
North Carolina,37,4932810.0,2538508.0,1404292.0,73087.0
New Jersey,34,4147575.0,2430590.0,1258003.0,71940.0
Colorado,08,2684110.0,1378562.0,838000.0,44230.0
Maryland,24,2866250.0,1479109.0,814202.0,38914.0
Nevada,32,1348650.0,710024.0,398417.0,22502.0
Tennessee,47,3145950.0,1394341.0,732619.0,39428.0
Hawaii,15,766730.0,378607.0,228167.0,11797.0
Indiana,18,2964250.0,1440383.0,937926.0,33398.0
Kentucky,21,2072685.0,1164238.0,601427.0,31546.0
Minnesota,27,2551740.0,1471972.0,832585.0,34762.0
Oklahoma,40,2239195.0,1047673.0,560727.0,25823.0
Pennsylvania,42,6257455.0,3124834.0,1596830.0,77683.0
South Carolina,45,2235235.0,1134174.0,630289.0,23144.0
District of Columbia,11,445625.0,142923.0,72304.0,5731.0
Kansas,20,1450815.0,713468.0,373957.0,26468.0
Missouri,29,2849985.0,1334902.0,715623.0,31512.0
Vermont,50,342960.0,172303.0,90314.0,4930.0
Virginia,51,3820055.0,2128858.0,1178348.0,59415.0
Connecticut,09,1899395.0,1034439.0,574848.0,24994.0
Iowa,19,1482225.0,813481.0,485885.0,21607.0
Louisiana,22,2164470.0,1034428.0,605878.0,23597.0
Ohio,39,5540795.0,2728608.0,1576541.0,87972.0
Michigan,26,4543010.0,2339274.0,1325005.0,73197.0
South Dakota,46,520635.0,261798.0,158075.0,7684.0
Arkansas,05,1466950.0,653550.0,335958.0,13192.0
Delaware,10,486095.0,238813.0,129418.0,7768.0
Mississippi,28,1418475.0,637529.0,355649.0,10734.0
New Mexico,35,1183825.0,677668.0,407096.0,20988.0
North Dakota,38,390610.0,215512.0,125067.0,6001.0
Wyoming,56,314015.0,134422.0,85286.0,2129.0
Alaska,02,520685.0,221157.0,143349.0,5490.0
Maine,23,679570.0,373307.0,205315.0,11472.0
Alabama,01,2177880.0,960539.0,561254.0,24649.0
Idaho,16,785375.0,382524.0,239114.0,12307.0
Montana,30,551325.0,275589.0,164540.0,7153.0
West Virginia,54,939515.0,467091.0,284107.0,11010.0
