state,fips,distributed,vaccinated,fully_vaccinated,daily_vaccinated
Washington,53,2657880.0,1321095.0,736314.0,57804.0
Illinois,17,4378835.0,2275017.0,1050701.0,86539.0
California,06,13885120.0,7075139.0,3259014.0,264079.0
Arizona,04,2623735.0,1328642.0,662235.0,45071.0
Massachusetts,25,2497130.0,1423801.0,636626.0,56816.0
Wisconsin,55,1924765.0,1098730.0,607958.0,42845.0
Texas,48,9250505.0,4246954.0,2316297.0,204902.0
Nebraska,31,712720.0,344638.0,185677.0,13165.0
Utah,49,993140.0,482088.0,212046.0,20651.0
Oregon,41,1420125.0,718580.0,409610.0,25313.0
Florida,12,7771315.0,3574315.0,1978276.0,123715.0
New York,36,7010045.0,3292632.0,1644257.0,140251.0
Rhode Island,44,387365.0,222457.0,88932.0,9240.0
Georgia,13,3437635.0,1365901.0,867118.0,34002.0
New Hampshire,33,496675.0,270198.0,114351.0,8620.0
North Carolina,37,3624905.0,1758662.0,963741.0,56396.0
New Jersey,34,3070400.0,1712715.0,857205.0,67167.0
Colorado,08,2019460.0,1019416.0,549441.0,36492.0
Maryland,24,2116560.0,1063374.0,589659.0,46529.0
Nevada,32,1033680.0,508997.0,271618.0,19208.0
Tennessee,47,2305870.0,1015188.0,538193.0,39889.0
Hawaii,15,598100.0,271432.0,165543.0,9085.0
Indiana,18,2206230.0,1106523.0,676716.0,35551.0
Kentucky,21,1555915.0,820729.0,413054.0,32688.0
Minnesota,27,1953700.0,1086169.0,547744.0,43673.0
Oklahoma,40,1741270.0,781746.0,447602.0,28451.0
Pennsylvania,42,4641045.0,2257020.0,1033492.0,88971.0
South Carolina,45,1642615.0,823824.0,454186.0,32372.0
District of Columbia,11,337095.0,95302.0,49150.0,5127.0
Kansas,20,1091625.0,491746.0,246974.0,17771.0
Missouri,29,2032445.0,976273.0,509879.0,39153.0
Vermont,50,261100.0,118292.0,61961.0,3914.0
Virginia,51,2881325.0,1533362.0,844476.0,55707.0
Connecticut,09,1434565.0,822106.0,321484.0,25272.0
Iowa,19,1106755.0,607257.0,253261.0,25236.0
Louisiana,22,1640860.0,741136.0,418865.0,22933.0
Ohio,39,4057505.0,1943411.0,1059485.0,75052.0
Michigan,26,3363430.0,1702571.0,955377.0,55951.0
South Dakota,46,399640.0,206243.0,108295.0,6470.0
Arkansas,05,1088150.0,477127.0,265226.0,17353.0
Delaware,10,361765.0,163954.0,93706.0,7409.0
Mississippi,28,1067855.0,480626.0,259941.0,20482.0
New Mexico,35,901345.0,519972.0,288529.0,17575.0
North Dakota,38,299900.0,164433.0,88541.0,5543.0
Wyoming,56,236065.0,110594.0,64192.0,3702.0
Alaska,02,426715.0,178237.0,110053.0,4155.0
Maine,23,503580.0,267398.0,134846.0,9450.0
Alabama,01,1628350.0,721109.0,402061.0,24087.0
Idaho,16,594115.0,289977.0,159634.0,11290.0
Montana,30,411145.0,210773.0,113545.0,7575.0
West Virginia,54,723565.0,358305.0,226593.0,9723.0
