state,fips,cases,deaths
Washington,53,368049,5316
Illinois,17,1251829,23601
California,06,3671559,59370
Arizona,04,842200,16977
Massachusetts,25,638339,17217
Wisconsin,55,637117,7327
Texas,48,2797720,48650
Nebraska,31,210455,2284
Utah,49,386188,2125
Oregon,41,165524,2398
Florida,12,2064517,33493
New York,36,1880768,49872
Rhode Island,44,137848,2624
Georgia,13,1036700,18536
New Hampshire,33,84539,1245
North Carolina,37,921917,12160
New Jersey,34,914420,24591
Colorado,08,466368,6183
Maryland,24,413113,8303
Nevada,32,304131,5256
Tennessee,47,799226,11809
Hawaii,15,29888,460
Indiana,18,691001,13048
Kentucky,21,431160,6172
Minnesota,27,521745,6938
Oklahoma,40,438777,4953
Pennsylvania,42,1034263,25179
South Carolina,45,552681,9174
District of Columbia,11,44656,1066
Kansas,20,304685,4913
Missouri,29,585861,8981
Vermont,50,19523,227
Virginia,51,620801,10268
Connecticut,09,312468,7900
Iowa,19,352137,5751
Louisiana,22,445469,10161
Ohio,39,1020041,18609
Michigan,26,753124,17165
South Dakota,46,117989,1938
Arkansas,05,330609,5636
Delaware,10,95188,1559
Mississippi,28,305417,7048
New Mexico,35,191946,3944
North Dakota,38,103331,1498
Wyoming,56,56389,700
Alaska,02,62785,299
Maine,23,50788,744
Alabama,01,515866,10553
Idaho,16,181023,1967
Montana,30,104865,1438
West Virginia,54,142233,2683
