state,fips,cases,deaths
Washington,53,369319,5325
Illinois,17,1254866,23626
California,06,3675326,59574
Arizona,04,843132,16989
Massachusetts,25,640779,17249
Wisconsin,55,637988,7338
Texas,48,2799889,48755
Nebraska,31,211422,2284
Utah,49,386610,2131
Oregon,41,166014,2402
Florida,12,2071007,33585
New York,36,1888823,49946
Rhode Island,44,138255,2630
Georgia,13,1038351,18592
New Hampshire,33,85010,1245
North Carolina,37,921917,12161
New Jersey,34,918949,24615
Colorado,08,468002,6184
Maryland,24,414570,8319
Nevada,32,304470,5260
Tennessee,47,799445,11809
Hawaii,15,30140,460
Indiana,18,692207,13069
Kentucky,21,431785,6192
Minnesota,27,524281,6942
Oklahoma,40,439149,4953
Pennsylvania,42,1038349,25206
South Carolina,45,554031,9179
District of Columbia,11,44807,1069
Kansas,20,305137,4932
Missouri,29,586634,8985
Vermont,50,19755,228
Virginia,51,622339,10279
Connecticut,09,313956,7904
Iowa,19,352714,5754
Louisiana,22,445469,10161
Ohio,39,1021718,18643
Michigan,26,759190,17185
South Dakota,46,118186,1938
Arkansas,05,330753,5639
Delaware,10,95590,1565
Mississippi,28,305701,7051
New Mexico,35,192152,3951
North Dakota,38,103492,1498
Wyoming,56,56447,700
Alaska,02,62987,299
Maine,23,51189,744
Alabama,01,516266,10607
Idaho,16,181298,1969
Montana,30,104992,1454
West Virginia,54,142653,2688
