state,fips,cases,deaths
Washington,53,220628,3170
Illinois,17,881229,15987
California,06,1761341,22155
Arizona,04,438514,7711
Massachusetts,25,309247,11558
Wisconsin,55,482443,4566
Texas,48,1552549,25336
Nebraska,31,154425,1482
Utah,49,243918,1126
Oregon,41,98937,1284
Florida,12,1168475,20304
New York,36,819427,35647
Rhode Island,44,77290,1602
Georgia,13,548646,9974
New Hampshire,33,34264,629
North Carolina,37,458739,6120
New Jersey,34,421238,18080
Colorado,08,302086,4265
Maryland,24,244247,5319
Nevada,32,197059,2680
Tennessee,47,480225,5783
Hawaii,15,19781,278
Indiana,18,450074,7180
Kentucky,21,237160,2575
Minnesota,27,389230,4717
Oklahoma,40,248204,2144
Pennsylvania,42,535231,13442
South Carolina,45,262774,4843
District of Columbia,11,25830,725
Kansas,20,198189,2253
Missouri,29,378014,5101
Vermont,50,6149,105
Virginia,51,296093,4553
Connecticut,09,160102,5552
Iowa,19,262210,3451
Louisiana,22,279321,6964
Ohio,39,596178,7894
Michigan,26,486831,11793
South Dakota,46,93197,1301
Arkansas,05,194543,3112
Delaware,10,48768,845
Mississippi,28,187904,4320
New Mexico,35,126045,2103
North Dakota,38,89069,1210
Wyoming,56,40593,351
Alaska,02,42639,176
Maine,23,17901,276
Alabama,01,310335,4254
Idaho,16,127224,1266
Montana,30,75545,849
West Virginia,54,68485,1071
