state,fips,cases,deaths
Washington,53,347391,5108
Illinois,17,1201760,23014
California,06,3599716,54217
Arizona,04,826454,16328
Massachusetts,25,591356,16417
Wisconsin,55,621654,7111
Texas,48,2695863,45446
Nebraska,31,203304,2223
Utah,49,374906,1976
Oregon,41,157350,2303
Florida,12,1944987,31682
New York,36,1694908,47857
Rhode Island,44,128121,2541
Georgia,13,998254,17348
New Hampshire,33,76861,1184
North Carolina,37,876542,11522
New Jersey,34,812609,23574
Colorado,08,437726,6075
Maryland,24,387501,7955
Nevada,32,296267,5037
Tennessee,47,769161,11450
Hawaii,15,27821,442
Indiana,18,670500,12737
Kentucky,21,414200,4962
Minnesota,27,490079,6618
Oklahoma,40,428997,4534
Pennsylvania,42,953421,24393
South Carolina,45,525865,8754
District of Columbia,11,41419,1030
Kansas,20,298900,4812
Missouri,29,520401,8608
Vermont,50,16083,208
Virginia,51,585700,9596
Connecticut,09,285330,7704
Iowa,19,339672,5559
Louisiana,22,433785,9748
Ohio,39,978471,17502
Michigan,26,655983,16647
South Dakota,46,113589,1900
Arkansas,05,324818,5319
Delaware,10,88354,1473
Mississippi,28,297581,6808
New Mexico,35,186922,3808
North Dakota,38,100421,1479
Wyoming,56,54764,682
Alaska,02,58870,292
Maine,23,45794,706
Alabama,01,499819,10148
Idaho,16,173011,1882
Montana,30,100968,1382
West Virginia,54,133445,2325
