state,fips,cases,deaths
Washington,53,174969,2927
Illinois,17,740510,13175
California,06,1253867,19327
Arizona,04,338254,6692
Massachusetts,25,229205,10778
Wisconsin,55,416365,3628
Texas,48,1275499,22204
Nebraska,31,130796,1092
Utah,49,198260,890
Oregon,41,76655,938
Florida,12,1008158,18678
New York,36,660041,34222
Rhode Island,44,57906,1380
Georgia,13,458985,9253
New Hampshire,33,21766,528
North Carolina,37,368615,5322
New Jersey,34,343739,17083
Colorado,08,238779,3136
Maryland,24,201479,4673
Nevada,32,155312,2182
Tennessee,47,371980,4584
Hawaii,15,18049,242
Indiana,18,347097,5864
Kentucky,21,187285,2097
Minnesota,27,322371,3674
Oklahoma,40,199482,1758
Pennsylvania,42,372688,10614
South Carolina,45,218912,4404
District of Columbia,11,21685,685
Kansas,20,160718,1560
Missouri,29,317903,4130
Vermont,50,4239,72
Virginia,51,240063,4093
Connecticut,09,118754,5040
Iowa,19,233062,2449
Louisiana,22,237740,6455
Ohio,39,430093,6548
Michigan,26,394838,9758
South Dakota,46,80912,948
Arkansas,05,159309,2512
Delaware,10,36343,777
Mississippi,28,154411,3836
New Mexico,35,99419,1589
North Dakota,38,79661,960
Wyoming,56,33805,230
Alaska,02,32911,116
Maine,23,11976,214
Alabama,01,252900,3638
Idaho,16,103642,966
Montana,30,63324,700
West Virginia,54,48818,758
