state,fips,cases,deaths
Washington,53,197973,3146
Illinois,17,813990,14621
California,06,1457214,20466
Arizona,04,384241,7081
Massachusetts,25,269412,11166
Wisconsin,55,452180,4149
Texas,48,1390544,23727
Nebraska,31,144755,1311
Utah,49,222545,995
Oregon,41,88308,1112
Florida,12,1083354,19461
New York,36,738947,34799
Rhode Island,44,68299,1484
Georgia,13,499299,9630
New Hampshire,33,27592,570
North Carolina,37,412140,5704
New Jersey,34,383354,17542
Colorado,08,274354,3671
Maryland,24,222971,4962
Nevada,32,176674,2395
Tennessee,47,413043,5113
Hawaii,15,18785,264
Indiana,18,401219,6506
Kentucky,21,212997,2359
Minnesota,27,363778,4168
Oklahoma,40,222993,1945
Pennsylvania,42,451154,11839
South Carolina,45,239444,4612
District of Columbia,11,23854,704
Kansas,20,183404,1941
Missouri,29,349046,4640
Vermont,50,5285,86
Virginia,51,267128,4281
Connecticut,09,140548,5285
Iowa,19,248782,3017
Louisiana,22,258914,6684
Ohio,39,520112,7187
Michigan,26,447817,10699
South Dakota,46,88023,1147
Arkansas,05,176652,2786
Delaware,10,42393,803
Mississippi,28,170672,4041
New Mexico,35,112950,1823
North Dakota,38,86149,1081
Wyoming,56,37885,299
Alaska,02,38510,143
Maine,23,14454,246
Alabama,01,280187,3985
Idaho,16,116677,1124
Montana,30,70191,771
West Virginia,54,58462,901
