state,fips,cases,deaths
Washington,53,212342,3084
Illinois,17,857860,15458
California,06,1620870,21196
Arizona,04,420459,7358
Massachusetts,25,294231,11388
Wisconsin,55,471285,4359
Texas,48,1493857,24582
Nebraska,31,150322,1442
Utah,49,235872,1065
Oregon,41,95042,1168
Florida,12,1134375,20002
New York,36,789815,35288
Rhode Island,44,74071,1555
Georgia,13,527157,9803
New Hampshire,33,31875,604
North Carolina,37,441721,5899
New Jersey,34,407316,17775
Colorado,08,291645,4015
Maryland,24,237215,5142
Nevada,32,189805,2557
Tennessee,47,452476,5484
Hawaii,15,19489,272
Indiana,18,433242,6840
Kentucky,21,228668,2472
Minnesota,27,381900,4521
Oklahoma,40,239767,2072
Pennsylvania,42,505422,12668
South Carolina,45,254776,4751
District of Columbia,11,25038,716
Kansas,20,193109,2109
Missouri,29,367510,4787
Vermont,50,5857,96
Virginia,51,285149,4414
Connecticut,09,153992,5444
Iowa,19,256902,3269
Louisiana,22,269643,6845
Ohio,39,570602,7551
Michigan,26,472166,11282
South Dakota,46,91354,1259
Arkansas,05,187057,2990
Delaware,10,46457,816
Mississippi,28,181095,4204
New Mexico,35,121299,1978
North Dakota,38,88073,1163
Wyoming,56,39775,321
Alaska,02,41363,169
Maine,23,16349,259
Alabama,01,297895,4102
Idaho,16,122679,1199
Montana,30,73356,818
West Virginia,54,64394,978
