state,fips,cases,deaths
Washington,53,329170,4701
Illinois,17,1158595,21985
California,06,3460775,45976
Arizona,04,792695,14690
Massachusetts,25,551396,15269
Wisconsin,55,604683,6725
Texas,48,2543997,40661
Nebraska,31,196172,2117
Utah,49,358581,1776
Oregon,41,149082,2067
Florida,12,1806797,28381
New York,36,1514327,44992
Rhode Island,44,120381,2274
Georgia,13,931043,15050
New Hampshire,33,69612,1117
North Carolina,37,815182,10336
New Jersey,34,736330,22329
Colorado,08,411997,5881
Maryland,24,368044,7467
Nevada,32,286514,4640
Tennessee,47,737833,10721
Hawaii,15,26591,421
Indiana,18,648183,12027
Kentucky,21,388867,4375
Minnesota,27,470871,6411
Oklahoma,40,409401,3948
Pennsylvania,42,890100,22908
South Carolina,45,476287,7837
District of Columbia,11,38533,973
Kansas,20,288003,4303
Missouri,29,506647,7798
Vermont,50,13249,188
Virginia,51,541018,6958
Connecticut,09,266499,7354
Iowa,19,327432,5196
Louisiana,22,417415,9239
Ohio,39,931437,12577
Michigan,26,626152,16009
South Dakota,46,109859,1829
Arkansas,05,311043,5199
Delaware,10,81875,1262
Mississippi,28,284664,6390
New Mexico,35,179323,3481
North Dakota,38,98383,1460
Wyoming,56,52979,647
Alaska,02,55850,269
Maine,23,42058,641
Alabama,01,477570,9021
Idaho,16,167026,1793
Montana,30,96938,1322
West Virginia,54,126420,2187
