state,fips,cases,deaths
Washington,53,344516,5056
Illinois,17,1192860,22803
California,06,3577973,52774
Arizona,04,819281,16065
Massachusetts,25,582844,16182
Wisconsin,55,618310,7055
Texas,48,2668665,44353
Nebraska,31,201894,2210
Utah,49,372035,1949
Oregon,41,156088,2231
Florida,12,1918092,31134
New York,36,1656941,47345
Rhode Island,44,126849,2525
Georgia,13,986968,16936
New Hampshire,33,75803,1170
North Carolina,37,867866,11320
New Jersey,34,795785,23321
Colorado,08,432939,6054
Maryland,24,383352,7905
Nevada,32,294324,4972
Tennessee,47,762964,11342
Hawaii,15,27532,436
Indiana,18,665962,12623
Kentucky,21,409843,4822
Minnesota,27,485723,6558
Oklahoma,40,424999,4534
Pennsylvania,42,940811,24135
South Carolina,45,518823,8576
District of Columbia,11,40767,1019
Kansas,20,297460,4743
Missouri,29,518029,8402
Vermont,50,15372,206
Virginia,51,578559,8943
Connecticut,09,283128,7658
Iowa,19,337496,5498
Louisiana,22,431271,9647
Ohio,39,970583,16750
Michigan,26,648990,16534
South Dakota,46,112652,1888
Arkansas,05,322949,5254
Delaware,10,87193,1426
Mississippi,28,295295,6724
New Mexico,35,185542,3742
North Dakota,38,99987,1477
Wyoming,56,54527,682
Alaska,02,58383,290
Maine,23,44944,703
Alabama,01,494421,9991
Idaho,16,172031,1874
Montana,30,100272,1373
West Virginia,54,132184,2301
