state,fips,cases,deaths
Washington,53,346733,5104
Illinois,17,1198242,22946
California,06,3592698,53838
Arizona,04,823384,16272
Massachusetts,25,588209,16322
Wisconsin,55,620663,7099
Texas,48,2689417,45195
Nebraska,31,202871,2222
Utah,49,373924,1970
Oregon,41,156985,2301
Florida,12,1936199,31521
New York,36,1679124,47672
Rhode Island,44,128121,2541
Georgia,13,994416,17260
New Hampshire,33,76422,1178
North Carolina,37,874780,11475
New Jersey,34,806367,23521
Colorado,08,436848,6075
Maryland,24,385860,7930
Nevada,32,295558,5024
Tennessee,47,767073,11439
Hawaii,15,27693,440
Indiana,18,668520,12697
Kentucky,21,412863,4912
Minnesota,27,488238,6602
Oklahoma,40,427558,4534
Pennsylvania,42,949223,24311
South Carolina,45,523258,8699
District of Columbia,11,41122,1027
Kansas,20,298897,4812
Missouri,29,519653,8599
Vermont,50,15819,207
Virginia,51,583060,9428
Connecticut,09,285330,7704
Iowa,19,339121,5549
Louisiana,22,433045,9716
Ohio,39,976230,17502
Michigan,26,654355,16591
South Dakota,46,113229,1896
Arkansas,05,324326,5283
Delaware,10,87874,1453
Mississippi,28,296745,6783
New Mexico,35,186460,3789
North Dakota,38,100308,1478
Wyoming,56,54764,682
Alaska,02,58870,292
Maine,23,45452,704
Alabama,01,498887,10122
Idaho,16,172929,1880
Montana,30,100798,1381
West Virginia,54,132964,2318
