state,fips,cases,deaths
Washington,53,376812,5373
Illinois,17,1276891,23762
California,06,3693790,60245
Arizona,04,848217,17062
Massachusetts,25,655278,17376
Wisconsin,55,644160,7376
Texas,48,2823275,49273
Nebraska,31,213697,2328
Utah,49,389414,2157
Oregon,41,169338,2451
Florida,12,2111799,33967
New York,36,1940703,50465
Rhode Island,44,141097,2638
Georgia,13,1047385,18825
New Hampshire,33,87978,1253
North Carolina,37,935163,12273
New Jersey,34,946504,24826
Colorado,08,478535,6203
Maryland,24,423849,8424
Nevada,32,306952,5323
Tennessee,47,807921,11900
Hawaii,15,30844,467
Indiana,18,699472,13131
Kentucky,21,435601,6328
Minnesota,27,537906,7010
Oklahoma,40,442805,6669
Pennsylvania,42,1069713,25421
South Carolina,45,560762,9248
District of Columbia,11,45634,1079
Kansas,20,306518,4938
Missouri,29,590923,9000
Vermont,50,20815,231
Virginia,51,632625,10451
Connecticut,09,321586,7944
Iowa,19,356073,5849
Louisiana,22,448838,10216
Ohio,39,1035552,18827
Michigan,26,812489,17471
South Dakota,46,119467,1946
Arkansas,05,331882,5661
Delaware,10,97784,1573
Mississippi,28,307094,7086
New Mexico,35,193368,3978
North Dakota,38,104519,1501
Wyoming,56,56873,701
Alaska,02,64259,299
Maine,23,53434,750
Alabama,01,518234,10686
Idaho,16,183255,1995
Montana,30,106104,1521
West Virginia,54,145299,2737
