state,fips,cases,deaths
Washington,53,330427,4739
Illinois,17,1161206,22027
California,06,3470302,46435
Arizona,04,794224,14843
Massachusetts,25,553812,15358
Wisconsin,55,605785,6737
Texas,48,2556292,41063
Nebraska,31,196616,2124
Utah,49,359641,1786
Oregon,41,149576,2109
Florida,12,1814414,28564
New York,36,1523042,45138
Rhode Island,44,120821,2290
Georgia,13,934874,15239
New Hampshire,33,70072,1126
North Carolina,37,819242,10408
New Jersey,34,740062,22393
Colorado,08,414171,5893
Maryland,24,369156,7503
Nevada,32,287091,4668
Tennessee,47,739996,10802
Hawaii,15,26672,422
Indiana,18,649610,12117
Kentucky,21,390634,4420
Minnesota,27,471919,6430
Oklahoma,40,410818,3959
Pennsylvania,42,893359,23007
South Carolina,45,480157,7894
District of Columbia,11,38670,976
Kansas,20,289210,4364
Missouri,29,507605,7840
Vermont,50,13415,189
Virginia,51,544209,6966
Connecticut,09,267337,7381
Iowa,19,328565,5223
Louisiana,22,418585,9276
Ohio,39,934742,15136
Michigan,26,627567,16018
South Dakota,46,110068,1831
Arkansas,05,311608,5212
Delaware,10,82263,1269
Mississippi,28,285648,6429
New Mexico,35,179724,3504
North Dakota,38,98496,1461
Wyoming,56,53086,647
Alaska,02,56008,271
Maine,23,42259,643
Alabama,01,478667,9180
Idaho,16,167350,1801
Montana,30,97159,1325
West Virginia,54,126887,2200
