state,fips,cases,deaths
Washington,53,298487,4021
Illinois,17,1084134,20285
California,06,3090690,35001
Arizona,04,693706,11564
Massachusetts,25,481040,13829
Wisconsin,55,573119,6036
Texas,48,2188485,33632
Nebraska,31,185656,1936
Utah,49,328380,1518
Oregon,41,135143,1841
Florida,12,1601003,24577
New York,36,1280068,41148
Rhode Island,44,107876,2058
Georgia,13,812454,12373
New Hampshire,33,59437,950
North Carolina,37,693695,8267
New Jersey,34,641140,20667
Colorado,08,381414,5509
Maryland,24,332558,6689
Nevada,32,265228,3869
Tennessee,47,681451,8477
Hawaii,15,24551,322
Indiana,18,601380,9529
Kentucky,21,337788,3540
Minnesota,27,449560,6047
Oklahoma,40,360360,3085
Pennsylvania,42,789029,19868
South Carolina,45,399843,6328
District of Columbia,11,34403,863
Kansas,20,266251,3584
Missouri,29,473912,6868
Vermont,50,10471,165
Virginia,51,455591,5861
Connecticut,09,234134,6726
Iowa,19,308787,4394
Louisiana,22,374582,8383
Ohio,39,842433,10409
Michigan,26,588616,14759
South Dakota,46,106063,1667
Arkansas,05,276114,4441
Delaware,10,71775,1026
Mississippi,28,256827,5638
New Mexico,35,165835,3011
North Dakota,38,96244,1409
Wyoming,56,50124,550
Alaska,02,52081,244
Maine,23,34963,530
Alabama,01,429655,6283
Idaho,16,157745,1637
Montana,30,90349,1094
West Virginia,54,111677,1836
