state,fips,cases,deaths
Washington,53,281071,3793
Illinois,17,1036450,19365
California,06,2770396,30381
Arizona,04,627771,10147
Massachusetts,25,437042,13206
Wisconsin,55,551942,5576
Texas,48,1991625,30720
Nebraska,31,177655,1835
Utah,49,307502,1400
Oregon,41,126607,1628
Florida,12,1488578,23070
New York,36,1150028,39404
Rhode Island,44,100607,1947
Georgia,13,740078,11113
New Hampshire,33,52307,869
North Carolina,37,632994,7635
New Jersey,34,590165,19932
Colorado,08,364815,5291
Maryland,24,309874,6301
Nevada,32,250471,3503
Tennessee,47,645378,7795
Hawaii,15,23462,306
Indiana,18,570355,9016
Kentucky,21,309414,3247
Minnesota,27,437620,5779
Oklahoma,40,335247,2775
Pennsylvania,42,731967,17861
South Carolina,45,357654,5826
District of Columbia,11,31993,821
Kansas,20,250421,3255
Missouri,29,454492,6336
Vermont,50,9078,156
Virginia,51,403386,5393
Connecticut,09,213358,6416
Iowa,19,297774,4139
Louisiana,22,348234,7918
Ohio,39,784957,9702
Michigan,26,565845,14183
South Dakota,46,103499,1585
Arkansas,05,256344,4081
Delaware,10,65827,986
Mississippi,28,240309,5186
New Mexico,35,157087,2766
North Dakota,38,94838,1360
Wyoming,56,47395,489
Alaska,02,50111,215
Maine,23,29611,438
Alabama,01,404000,5347
Idaho,16,150557,1552
Montana,30,86757,1057
West Virginia,54,102282,1594
