state,fips,cases,deaths
Washington,53,94694,2261
Illinois,17,308990,9100
California,06,840322,16251
Arizona,04,221937,5713
Massachusetts,25,135957,9538
Wisconsin,55,143886,1410
Texas,48,811191,16622
Nebraska,31,48757,511
Utah,49,79449,489
Oregon,41,35347,581
Florida,12,720117,14766
New York,36,471638,32836
Rhode Island,44,25596,1125
Georgia,13,329101,7062
New Hampshire,33,8731,446
North Carolina,37,221438,3691
New Jersey,34,211129,16147
Colorado,08,74535,2094
Maryland,24,128691,3967
Nevada,32,83036,1630
Tennessee,47,202257,2594
Hawaii,15,13090,159
Indiana,18,129281,3711
Kentucky,21,77741,1255
Minnesota,27,105793,2140
Oklahoma,40,93346,1066
Pennsylvania,42,170255,8318
South Carolina,45,152970,3471
District of Columbia,11,15652,631
Kansas,20,64077,706
Missouri,29,139172,2258
Vermont,50,1821,58
Virginia,51,153182,3291
Connecticut,09,59241,4521
Iowa,19,93909,1414
Louisiana,22,170469,5592
Ohio,39,161299,4947
Michigan,26,143901,7163
South Dakota,46,24876,248
Arkansas,05,88071,1469
Delaware,10,21466,646
Mississippi,28,101678,3027
New Mexico,35,30947,894
North Dakota,38,24368,284
Wyoming,56,6770,53
Alaska,02,9656,54
Maine,23,5565,142
Alabama,01,160477,2580
Idaho,16,45487,494
Montana,30,15633,192
West Virginia,54,16936,364
