state,fips,cases,deaths
Washington,53,349881,5159
Illinois,17,1206362,23067
California,06,3611490,54877
Arizona,04,828630,16404
Massachusetts,25,595264,16509
Wisconsin,55,623150,7151
Texas,48,2710622,45956
Nebraska,31,204144,2231
Utah,49,376384,1992
Oregon,41,158360,2314
Florida,12,1957578,31947
New York,36,1713287,48092
Rhode Island,44,129595,2559
Georgia,13,1003181,17491
New Hampshire,33,77463,1187
North Carolina,37,882489,11628
New Jersey,34,822817,23691
Colorado,08,441611,6092
Maryland,24,389748,8002
Nevada,32,297203,5069
Tennessee,47,772634,11506
Hawaii,15,27944,445
Indiana,18,672439,12775
Kentucky,21,416402,5026
Minnesota,27,493081,6773
Oklahoma,40,430250,4701
Pennsylvania,42,960877,24485
South Carolina,45,528473,8781
District of Columbia,11,42006,1037
Kansas,20,300261,4851
Missouri,29,572148,8728
Vermont,50,16371,211
Virginia,51,589375,9849
Connecticut,09,288657,7752
Iowa,19,341378,5602
Louisiana,22,435514,9812
Ohio,39,983487,17662
Michigan,26,662553,16690
South Dakota,46,113962,1904
Arkansas,05,325700,5382
Delaware,10,88891,1492
Mississippi,28,298445,6845
New Mexico,35,187487,3841
North Dakota,38,100645,1481
Wyoming,56,55014,691
Alaska,02,59451,291
Maine,23,46254,723
Alabama,01,501398,10222
Idaho,16,174381,1903
Montana,30,101374,1388
West Virginia,54,134158,2330
