state,fips,cases,deaths
Washington,53,227049,3170
Illinois,17,901924,16407
California,06,1889828,22736
Arizona,04,453601,7971
Massachusetts,25,323531,11717
Wisconsin,55,492724,4745
Texas,48,1593201,25948
Nebraska,31,157171,1515
Utah,49,250964,1155
Oregon,41,102930,1341
Florida,12,1201558,20567
New York,36,851400,36017
Rhode Island,44,77812,1625
Georgia,13,567654,10056
New Hampshire,33,36542,656
North Carolina,37,479875,6259
New Jersey,34,434500,18194
Colorado,08,310522,4420
Maryland,24,251069,5448
Nevada,32,204227,2786
Tennessee,47,505880,6007
Hawaii,15,20291,280
Indiana,18,467258,7404
Kentucky,21,244784,2665
Minnesota,27,397378,4909
Oklahoma,40,260838,2212
Pennsylvania,42,560002,13964
South Carolina,45,273406,4935
District of Columbia,11,26601,737
Kansas,20,203674,2341
Missouri,29,386259,5262
Vermont,50,6443,111
Virginia,51,306848,4650
Connecticut,09,162782,5581
Iowa,19,267329,3589
Louisiana,22,286145,7042
Ohio,39,622806,8047
Michigan,26,495458,12066
South Dakota,46,94727,1361
Arkansas,05,201650,3237
Delaware,10,50616,862
Mississippi,28,194333,4409
New Mexico,35,129993,2171
North Dakota,38,90045,1237
Wyoming,56,41662,351
Alaska,02,43649,176
Maine,23,18946,292
Alabama,01,322452,4389
Idaho,16,130039,1284
Montana,30,77170,865
West Virginia,54,72342,1128
