state,fips,cases,deaths
Washington,53,191468,3080
Illinois,17,797789,14234
California,06,1399167,20052
Arizona,04,366364,6950
Massachusetts,25,259325,11035
Wisconsin,55,443415,3979
Texas,48,1361376,23258
Nebraska,31,141918,1251
Utah,49,217638,949
Oregon,41,85803,1049
Florida,12,1065777,19281
New York,36,718991,34637
Rhode Island,44,65818,1448
Georgia,13,488225,9559
New Hampshire,33,25816,566
North Carolina,37,399796,5598
New Jersey,34,373415,17336
Colorado,08,266670,3466
Maryland,24,217647,4865
Nevada,32,171159,2326
Tennessee,47,399323,4953
Hawaii,15,18659,260
Indiana,18,390048,6284
Kentucky,21,207043,2276
Minnesota,27,356211,4064
Oklahoma,40,218389,1911
Pennsylvania,42,432410,11431
South Carolina,45,234652,4579
District of Columbia,11,23319,701
Kansas,20,177389,1856
Missouri,29,342244,4452
Vermont,50,5080,81
Virginia,51,258870,4208
Connecticut,09,135844,5224
Iowa,19,245985,2723
Louisiana,22,252136,6607
Ohio,39,484297,7023
Michigan,26,435681,10415
South Dakota,46,86500,1110
Arkansas,05,172042,2713
Delaware,10,40711,793
Mississippi,28,166194,3961
New Mexico,35,109947,1756
North Dakota,38,83348,1028
Wyoming,56,36985,280
Alaska,02,37350,139
Maine,23,13775,227
Alabama,01,272229,3892
Idaho,16,112433,1062
Montana,30,68651,743
West Virginia,54,56128,841
