state,fips,cases,deaths
Washington,53,135365,2638
Illinois,17,574722,11170
California,06,1035981,18265
Arizona,04,275523,6302
Massachusetts,25,188275,10329
Wisconsin,55,329924,2759
Texas,48,1090500,20110
Nebraska,31,98161,796
Utah,49,153808,718
Oregon,41,56880,762
Florida,12,885193,17517
New York,36,564952,33508
Rhode Island,44,41529,1254
Georgia,13,409504,8730
New Hampshire,33,14671,499
North Carolina,37,312406,4830
New Jersey,34,281075,16566
Colorado,08,164408,2574
Maryland,24,166317,4302
Nevada,32,120744,1913
Tennessee,47,305211,3856
Hawaii,15,16619,221
Indiana,18,254172,4910
Kentucky,21,140267,1742
Minnesota,27,223637,2961
Oklahoma,40,154128,1528
Pennsylvania,42,269043,9385
South Carolina,45,195507,4112
District of Columbia,11,18977,660
Kansas,20,117851,1256
Missouri,29,249608,3463
Vermont,50,2889,59
Virginia,51,201960,3800
Connecticut,09,88645,4737
Iowa,19,186314,1989
Louisiana,22,204513,6132
Ohio,39,298096,5722
Michigan,26,275892,8378
South Dakota,46,65381,644
Arkansas,05,133040,2183
Delaware,10,28803,736
Mississippi,28,134309,3543
New Mexico,35,64201,1215
North Dakota,38,63802,742
Wyoming,56,22494,144
Alaska,02,23688,92
Maine,23,8944,165
Alabama,01,217822,3248
Idaho,16,82545,763
Montana,30,47158,525
West Virginia,54,33659,582
