state,fips,cases,deaths
Washington,53,388842,5439
Illinois,17,1307764,23976
California,06,3720790,61006
Arizona,04,854453,17153
Massachusetts,25,673974,17481
Wisconsin,55,652158,7421
Texas,48,2855526,49776
Nebraska,31,216613,2345
Utah,49,393018,2166
Oregon,41,175680,2474
Florida,12,2173130,34470
New York,36,2002053,51122
Rhode Island,44,144966,2651
Georgia,13,1061070,19172
New Hampshire,33,91783,1270
North Carolina,37,955836,12443
New Jersey,34,981036,25161
Colorado,08,493933,6337
Maryland,24,436846,8574
Nevada,32,310933,5368
Tennessee,47,821538,11986
Hawaii,15,31779,471
Indiana,18,712076,13226
Kentucky,21,441014,6442
Minnesota,27,557743,7104
Oklahoma,40,445650,6697
Pennsylvania,42,1114472,25744
South Carolina,45,570032,9352
District of Columbia,11,46740,1096
Kansas,20,308518,5005
Missouri,29,589118,9117
Vermont,50,22112,242
Virginia,51,647111,10595
Connecticut,09,331401,8014
Iowa,19,360339,5887
Louisiana,22,453351,10293
Ohio,39,1054807,18991
Michigan,26,882436,17987
South Dakota,46,121189,1953
Arkansas,05,333511,5699
Delaware,10,101547,1602
Mississippi,28,309223,7153
New Mexico,35,195478,4009
North Dakota,38,105836,1510
Wyoming,56,57378,703
Alaska,02,65835,318
Maine,23,57545,767
Alabama,01,522512,10790
Idaho,16,185364,2024
Montana,30,107315,1547
West Virginia,54,149147,2785
