state,fips,cases,deaths
Washington,53,347301,5107
Illinois,17,1200720,23002
California,06,3596962,54124
Arizona,04,825119,16323
Massachusetts,25,589931,16374
Wisconsin,55,621277,7107
Texas,48,2693011,45381
Nebraska,31,203084,2223
Utah,49,374494,1975
Oregon,41,157163,2303
Florida,12,1940889,31619
New York,36,1687250,47767
Rhode Island,44,128121,2541
Georgia,13,996616,17347
New Hampshire,33,76695,1181
North Carolina,37,876542,11520
New Jersey,34,810089,23557
Colorado,08,437650,6075
Maryland,24,386792,7941
Nevada,32,296030,5036
Tennessee,47,768139,11447
Hawaii,15,27774,441
Indiana,18,669754,12726
Kentucky,21,413684,4952
Minnesota,27,489184,6614
Oklahoma,40,428536,4534
Pennsylvania,42,951703,24362
South Carolina,45,524457,8719
District of Columbia,11,41273,1030
Kansas,20,298900,4812
Missouri,29,520111,8606
Vermont,50,15964,208
Virginia,51,584537,9519
Connecticut,09,285330,7704
Iowa,19,339511,5553
Louisiana,22,433045,9716
Ohio,39,977738,17502
Michigan,26,655924,16647
South Dakota,46,113378,1898
Arkansas,05,324653,5297
Delaware,10,88139,1464
Mississippi,28,297321,6805
New Mexico,35,186742,3798
North Dakota,38,100387,1479
Wyoming,56,54764,682
Alaska,02,58870,292
Maine,23,45635,704
Alabama,01,499411,10149
Idaho,16,173011,1882
Montana,30,100925,1382
West Virginia,54,133290,2323
