state,fips,cases,deaths
Washington,53,349196,5141
Illinois,17,1204693,23039
California,06,3608022,54620
Arizona,04,827800,16326
Massachusetts,25,593607,16456
Wisconsin,55,622444,7138
Texas,48,2705272,45754
Nebraska,31,203806,2221
Utah,49,375725,1990
Oregon,41,158029,2309
Florida,12,1952725,31888
New York,36,1707181,48000
Rhode Island,44,129277,2556
Georgia,13,1001341,17418
New Hampshire,33,77252,1185
North Carolina,37,880585,11577
New Jersey,34,819042,23635
Colorado,08,440479,6084
Maryland,24,388848,7988
Nevada,32,296872,5054
Tennessee,47,771292,11489
Hawaii,15,27903,442
Indiana,18,671570,12762
Kentucky,21,415393,5001
Minnesota,27,492176,6764
Oklahoma,40,429432,4701
Pennsylvania,42,958266,24445
South Carolina,45,527348,8763
District of Columbia,11,41910,1036
Kansas,20,299523,4816
Missouri,29,571432,8715
Vermont,50,16286,211
Virginia,51,588129,9790
Connecticut,09,288145,7739
Iowa,19,340891,5575
Louisiana,22,434926,9769
Ohio,39,981619,17662
Michigan,26,659901,16683
South Dakota,46,113753,1901
Arkansas,05,325383,5357
Delaware,10,88679,1482
Mississippi,28,298008,6834
New Mexico,35,187238,3832
North Dakota,38,100544,1479
Wyoming,56,54972,691
Alaska,02,59299,291
Maine,23,46059,723
Alabama,01,500616,10186
Idaho,16,173922,1894
Montana,30,101229,1386
West Virginia,54,133856,2326
