state,fips,cases,deaths
Washington,53,341941,5024
Illinois,17,1186993,22675
California,06,3561560,51794
Arizona,04,815345,15897
Massachusetts,25,577980,16024
Wisconsin,55,616029,7004
Texas,48,2644221,43633
Nebraska,31,200866,2195
Utah,49,370140,1907
Oregon,41,154902,2216
Florida,12,1898215,30623
New York,36,1628255,46914
Rhode Island,44,125622,2502
Georgia,13,976400,16682
New Hampshire,33,74893,1167
North Carolina,37,860311,11216
New Jersey,34,782829,23192
Colorado,08,428475,6023
Maryland,24,380618,7838
Nevada,32,293152,4942
Tennessee,47,759124,11284
Hawaii,15,27320,434
Indiana,18,663282,12531
Kentucky,21,406795,4746
Minnesota,27,483046,6530
Oklahoma,40,423023,4320
Pennsylvania,42,931099,23979
South Carolina,45,513295,8477
District of Columbia,11,40284,1009
Kansas,20,296798,4735
Missouri,29,516429,8371
Vermont,50,14963,204
Virginia,51,572639,8197
Connecticut,09,279946,7622
Iowa,19,335840,5463
Louisiana,22,428592,9587
Ohio,39,964380,17185
Michigan,26,644046,16429
South Dakota,46,112107,1879
Arkansas,05,318638,5407
Delaware,10,86098,1418
Mississippi,28,293542,6638
New Mexico,35,184736,3687
North Dakota,38,99741,1472
Wyoming,56,54350,671
Alaska,02,57846,279
Maine,23,44295,701
Alabama,01,491849,9869
Idaho,16,171071,1862
Montana,30,99732,1357
West Virginia,54,131234,2291
