state,fips,cases,deaths
Washington,53,312042,4328
Illinois,17,1119004,21074
California,06,3272726,39527
Arizona,04,745976,12861
Massachusetts,25,514134,14348
Wisconsin,55,587580,6339
Texas,48,2330107,36434
Nebraska,31,190585,2013
Utah,49,342445,1620
Oregon,41,140783,1946
Florida,12,1687586,26034
New York,36,1383112,42639
Rhode Island,44,113754,2144
Georgia,13,869165,13404
New Hampshire,33,64258,1022
North Carolina,37,741583,9099
New Jersey,34,681283,21301
Colorado,08,394668,5670
Maryland,24,348925,7037
Nevada,32,275125,4188
Tennessee,47,704464,9332
Hawaii,15,25460,403
Indiana,18,623094,9879
Kentucky,21,359978,3863
Minnesota,27,458701,6208
Oklahoma,40,381430,3423
Pennsylvania,42,830295,21350
South Carolina,45,431169,6903
District of Columbia,11,36132,902
Kansas,20,275585,3718
Missouri,29,489451,7141
Vermont,50,11523,172
Virginia,51,493674,6308
Connecticut,09,248765,7020
Iowa,19,317124,4532
Louisiana,22,394909,8743
Ohio,39,883716,11006
Michigan,26,605152,15393
South Dakota,46,107795,1763
Arkansas,05,290856,4784
Delaware,10,76495,1075
Mississippi,28,270476,5945
New Mexico,35,171719,3228
North Dakota,38,97330,1442
Wyoming,56,51430,596
Alaska,02,53524,253
Maine,23,38454,567
Alabama,01,452734,7340
Idaho,16,161863,1724
Montana,30,93018,1213
West Virginia,54,118562,1983
