state,fips,cases,deaths
Washington,53,346030,5098
Illinois,17,1196739,22902
California,06,3587633,53457
Arizona,04,821474,16185
Massachusetts,25,586310,16296
Wisconsin,55,619942,7087
Texas,48,2683840,44920
Nebraska,31,202521,2213
Utah,49,373319,1965
Oregon,41,156714,2284
Florida,12,1930224,31386
New York,36,1670973,47565
Rhode Island,44,127727,2539
Georgia,13,992399,17198
New Hampshire,33,76178,1178
North Carolina,37,872678,11434
New Jersey,34,802669,23491
Colorado,08,435448,6066
Maryland,24,384947,7922
Nevada,32,295166,5005
Tennessee,47,765869,11407
Hawaii,15,27604,438
Indiana,18,667668,12663
Kentucky,21,411928,4886
Minnesota,27,487442,6589
Oklahoma,40,426641,4534
Pennsylvania,42,946455,24265
South Carolina,45,521563,8660
District of Columbia,11,41014,1024
Kansas,20,298218,4816
Missouri,29,519108,8571
Vermont,50,15686,207
Virginia,51,581408,9357
Connecticut,09,284500,7693
Iowa,19,338588,5536
Louisiana,22,432527,9686
Ohio,39,974480,16750
Michigan,26,652589,16580
South Dakota,46,113065,1896
Arkansas,05,323756,5273
Delaware,10,87643,1444
Mississippi,28,296154,6764
New Mexico,35,186156,3771
North Dakota,38,100214,1478
Wyoming,56,54685,682
Alaska,02,58722,291
Maine,23,45227,705
Alabama,01,498076,10094
Idaho,16,172721,1879
Montana,30,100640,1377
West Virginia,54,132677,2309
