state,fips,cases,deaths
Washington,53,345193,5075
Illinois,17,1194960,22853
California,06,3582377,53066
Arizona,04,820561,16089
Massachusetts,25,584743,16252
Wisconsin,55,619089,7074
Texas,48,2676258,44627
Nebraska,31,202182,2213
Utah,49,372764,1955
Oregon,41,156387,2262
Florida,12,1924106,31266
New York,36,1663505,47464
Rhode Island,44,127285,2534
Georgia,13,989698,17079
New Hampshire,33,75990,1175
North Carolina,37,869999,11389
New Jersey,34,799476,23383
Colorado,08,434143,6063
Maryland,24,384138,7919
Nevada,32,294742,4988
Tennessee,47,764297,11365
Hawaii,15,27549,438
Indiana,18,666731,12633
Kentucky,21,410874,4853
Minnesota,27,486502,6575
Oklahoma,40,425746,4534
Pennsylvania,42,943448,24214
South Carolina,45,519996,8620
District of Columbia,11,40818,1023
Kansas,20,298178,4816
Missouri,29,518530,8565
Vermont,50,15487,207
Virginia,51,580108,9326
Connecticut,09,283622,7678
Iowa,19,338009,5501
Louisiana,22,431771,9668
Ohio,39,972605,16750
Michigan,26,650798,16541
South Dakota,46,112833,1893
Arkansas,05,323353,5261
Delaware,10,87425,1440
Mississippi,28,295675,6743
New Mexico,35,185898,3755
North Dakota,38,100097,1478
Wyoming,56,54616,682
Alaska,02,58574,291
Maine,23,45091,705
Alabama,01,497154,10029
Idaho,16,172442,1879
Montana,30,100469,1374
West Virginia,54,132416,2309
