state,fips,cases,deaths
Washington,53,320502,4466
Illinois,17,1137037,21420
California,06,3366991,42434
Arizona,04,769297,13593
Massachusetts,25,531117,14708
Wisconsin,55,595756,6500
Texas,48,2450705,38203
Nebraska,31,193128,2042
Utah,49,350000,1699
Oregon,41,144605,2011
Florida,12,1744611,27018
New York,36,1444199,43687
Rhode Island,44,116704,2198
Georgia,13,898639,14153
New Hampshire,33,66721,1076
North Carolina,37,779727,9625
New Jersey,34,705807,21693
Colorado,08,401751,5759
Maryland,24,357660,7220
Nevada,32,280835,4376
Tennessee,47,719332,9939
Hawaii,15,26000,411
Indiana,18,634470,10091
Kentucky,21,372774,4067
Minnesota,27,463834,6302
Oklahoma,40,394283,3654
Pennsylvania,42,859345,22010
South Carolina,45,450794,7394
District of Columbia,11,37199,926
Kansas,20,281866,3895
Missouri,29,497781,7491
Vermont,50,12329,179
Virginia,51,513339,6575
Connecticut,09,257004,7157
Iowa,19,322308,4975
Louisiana,22,406235,9006
Ohio,39,906727,11431
Michigan,26,614355,15633
South Dakota,46,108639,1782
Arkansas,05,300430,4985
Delaware,10,78982,1130
Mississippi,28,277322,6158
New Mexico,35,175652,3340
North Dakota,38,97961,1447
Wyoming,56,52288,624
Alaska,02,54447,269
Maine,23,40233,627
Alabama,01,465056,8203
Idaho,16,164257,1750
Montana,30,94890,1304
West Virginia,54,122470,2058
