state,fips,cases,deaths
Washington,53,339913,4988
Illinois,17,1182402,22575
California,06,3549023,50953
Arizona,04,812653,15693
Massachusetts,25,573885,15945
Wisconsin,55,614271,6940
Texas,48,2625490,43053
Nebraska,31,200260,2179
Utah,49,368658,1879
Oregon,41,154069,2204
Florida,12,1885653,30339
New York,36,1611288,46680
Rhode Island,44,124718,2487
Georgia,13,969603,16532
New Hampshire,33,74258,1157
North Carolina,37,854171,11100
New Jersey,34,775385,23035
Colorado,08,426281,6012
Maryland,24,378672,7789
Nevada,32,292100,4922
Tennessee,47,755637,11175
Hawaii,15,27211,432
Indiana,18,661241,12467
Kentucky,21,404242,4686
Minnesota,27,480913,6511
Oklahoma,40,421010,4264
Pennsylvania,42,925662,23832
South Carolina,45,509044,8398
District of Columbia,11,39943,1001
Kansas,20,295991,4724
Missouri,29,515159,8316
Vermont,50,14768,201
Virginia,51,568946,7807
Connecticut,09,278184,7595
Iowa,19,334665,5415
Louisiana,22,426925,9528
Ohio,39,959995,17048
Michigan,26,641185,16380
South Dakota,46,111808,1864
Arkansas,05,317396,5387
Delaware,10,85506,1402
Mississippi,28,291891,6605
New Mexico,35,183781,3660
North Dakota,38,99561,1470
Wyoming,56,53988,671
Alaska,02,57550,279
Maine,23,43900,677
Alabama,01,490220,9744
Idaho,16,170351,1842
Montana,30,99363,1349
West Virginia,54,130382,2285
