state,fips,cases,deaths
Washington,53,108393,2428
Illinois,17,385084,9811
California,06,913699,17398
Arizona,04,239193,5875
Massachusetts,25,151777,9881
Wisconsin,55,212116,1825
Texas,48,917240,18077
Nebraska,31,64692,612
Utah,49,106083,575
Oregon,41,42454,657
Florida,12,782005,16448
New York,36,501393,33073
Rhode Island,44,31024,1184
Georgia,13,364275,7644
New Hampshire,33,10397,475
North Carolina,37,262159,4200
New Jersey,34,231473,16292
Colorado,08,97686,2255
Maryland,24,141334,4099
Nevada,32,96330,1751
Tennessee,47,245760,3132
Hawaii,15,14858,211
Indiana,18,167010,4143
Kentucky,21,99965,1480
Minnesota,27,135425,2406
Oklahoma,40,117399,1251
Pennsylvania,42,201248,8737
South Carolina,45,171501,3823
District of Columbia,11,16812,642
Kansas,20,80473,976
Missouri,29,177733,2869
Vermont,50,2083,58
Virginia,51,174275,3581
Connecticut,09,68099,4589
Iowa,19,117198,1657
Louisiana,22,183802,5854
Ohio,39,200231,5217
Michigan,26,179624,7551
South Dakota,46,39741,375
Arkansas,05,106727,1833
Delaware,10,24168,685
Mississippi,28,115763,3263
New Mexico,35,42586,976
North Dakota,38,38246,466
Wyoming,56,11477,77
Alaska,02,14316,64
Maine,23,6254,146
Alabama,01,185322,2866
Idaho,16,60400,582
Montana,30,28580,304
West Virginia,54,22223,424
