state,fips,cases,deaths
Washington,53,215310,3139
Illinois,17,872294,15780
California,06,1716027,21881
Arizona,04,431330,7558
Massachusetts,25,304112,11513
Wisconsin,55,478162,4499
Texas,48,1535323,25078
Nebraska,31,153244,1472
Utah,49,240715,1102
Oregon,41,97625,1267
Florida,12,1155327,20203
New York,36,808929,35522
Rhode Island,44,76209,1590
Georgia,13,541086,9913
New Hampshire,33,33433,625
North Carolina,37,453628,6030
New Jersey,34,416983,18003
Colorado,08,298492,4192
Maryland,24,242057,5270
Nevada,32,194461,2659
Tennessee,47,471348,5610
Hawaii,15,19645,276
Indiana,18,443734,7101
Kentucky,21,234207,2529
Minnesota,27,386471,4634
Oklahoma,40,245229,2128
Pennsylvania,42,525199,13200
South Carolina,45,260119,4800
District of Columbia,11,25602,720
Kansas,20,197903,2253
Missouri,29,374010,5043
Vermont,50,6009,105
Virginia,51,292240,4508
Connecticut,09,157781,5506
Iowa,19,260784,3354
Louisiana,22,275545,6933
Ohio,39,584766,7777
Michigan,26,482217,11582
South Dakota,46,92604,1300
Arkansas,05,191504,3074
Delaware,10,47929,833
Mississippi,28,185643,4294
New Mexico,35,124357,2049
North Dakota,38,88692,1201
Wyoming,56,40310,328
Alaska,02,42256,174
Maine,23,17311,267
Alabama,01,305640,4198
Idaho,16,125834,1247
Montana,30,74764,836
West Virginia,54,66849,1039
