state,fips,cases,deaths
Washington,53,339051,4947
Illinois,17,1180421,22528
California,06,3543172,49869
Arizona,04,811560,15651
Massachusetts,25,571783,15883
Wisconsin,55,613427,6914
Texas,48,2617850,42728
Nebraska,31,199837,2172
Utah,49,367846,1865
Oregon,41,153645,2171
Florida,12,1878525,30212
New York,36,1605149,46562
Rhode Island,44,124262,2476
Georgia,13,966131,16401
New Hampshire,33,73923,1155
North Carolina,37,850917,11007
New Jersey,34,772267,22978
Colorado,08,425155,6003
Maryland,24,377810,7762
Nevada,32,291698,4903
Tennessee,47,754161,11108
Hawaii,15,27168,428
Indiana,18,660229,12450
Kentucky,21,402943,4636
Minnesota,27,480159,6502
Oklahoma,40,420212,4227
Pennsylvania,42,922848,23749
South Carolina,45,506912,8357
District of Columbia,11,39844,998
Kansas,20,294885,4643
Missouri,29,514394,8284
Vermont,50,14691,199
Virginia,51,567039,7658
Connecticut,09,276691,7572
Iowa,19,333962,5400
Louisiana,22,426048,9503
Ohio,39,958153,16972
Michigan,26,639650,16371
South Dakota,46,111546,1863
Arkansas,05,316593,5377
Delaware,10,85228,1379
Mississippi,28,291222,6577
New Mexico,35,183335,3646
North Dakota,38,99446,1469
Wyoming,56,53944,671
Alaska,02,57371,279
Maine,23,43736,660
Alabama,01,488973,9660
Idaho,16,170013,1842
Montana,30,99161,1347
West Virginia,54,130139,2274
