state,fips,cases,deaths
Washington,53,375381,5367
Illinois,17,1272932,23740
California,06,3690175,60088
Arizona,04,846917,17055
Massachusetts,25,652966,17366
Wisconsin,55,642966,7371
Texas,48,2820062,49168
Nebraska,31,213433,2317
Utah,49,388970,2149
Oregon,41,168795,2450
Florida,12,2104678,33905
New York,36,1932145,50388
Rhode Island,44,140534,2636
Georgia,13,1045930,18780
New Hampshire,33,87441,1251
North Carolina,37,932887,12250
New Jersey,34,942311,24783
Colorado,08,476630,6200
Maryland,24,422009,8410
Nevada,32,306315,5313
Tennessee,47,806768,11895
Hawaii,15,30673,467
Indiana,18,698132,13114
Kentucky,21,434897,6314
Minnesota,27,535260,7000
Oklahoma,40,442389,6669
Pennsylvania,42,1064568,25380
South Carolina,45,559597,9237
District of Columbia,11,45498,1077
Kansas,20,306099,4932
Missouri,29,590133,9001
Vermont,50,20669,230
Virginia,51,631083,10436
Connecticut,09,319779,7940
Iowa,19,355454,5843
Louisiana,22,448104,10200
Ohio,39,1033606,18741
Michigan,26,803765,17440
South Dakota,46,119197,1939
Arkansas,05,331704,5662
Delaware,10,97404,1568
Mississippi,28,306851,7082
New Mexico,35,193247,3976
North Dakota,38,104395,1499
Wyoming,56,56802,701
Alaska,02,64013,299
Maine,23,52996,748
Alabama,01,517916,10675
Idaho,16,182951,1991
Montana,30,105883,1496
West Virginia,54,144820,2735
