state,fips,cases,deaths
Washington,53,382627,5407
Illinois,17,1292456,23865
California,06,3709256,60683
Arizona,04,851276,17109
Massachusetts,25,664943,17427
Wisconsin,55,648304,7402
Texas,48,2841262,49522
Nebraska,31,215302,2329
Utah,49,391238,2161
Oregon,41,172206,2463
Florida,12,2141678,34163
New York,36,1971610,50839
Rhode Island,44,143251,2642
Georgia,13,1054406,18995
New Hampshire,33,89983,1261
North Carolina,37,945308,12353
New Jersey,34,963483,24987
Colorado,08,486277,6309
Maryland,24,430537,8493
Nevada,32,309150,5353
Tennessee,47,813127,11934
Hawaii,15,31242,470
Indiana,18,705268,13187
Kentucky,21,438463,6380
Minnesota,27,547179,7056
Oklahoma,40,444288,6697
Pennsylvania,42,1093491,25580
South Carolina,45,564931,9304
District of Columbia,11,46209,1088
Kansas,20,307622,4944
Missouri,29,593882,9101
Vermont,50,21488,237
Virginia,51,640211,10510
Connecticut,09,327298,7984
Iowa,19,358395,5858
Louisiana,22,450673,10264
Ohio,39,1045945,18917
Michigan,26,850082,17683
South Dakota,46,120379,1948
Arkansas,05,332666,5680
Delaware,10,99515,1591
Mississippi,28,308111,7122
New Mexico,35,194378,3998
North Dakota,38,105246,1505
Wyoming,56,57127,703
Alaska,02,65008,300
Maine,23,55374,757
Alabama,01,520780,10728
Idaho,16,184427,2008
Montana,30,106747,1526
West Virginia,54,147203,2756
