state,fips,cases,deaths
Washington,53,340997,5015
Illinois,17,1184374,22607
California,06,3554658,51385
Arizona,04,813898,15821
Massachusetts,25,575993,15978
Wisconsin,55,615233,6998
Texas,48,2633310,43350
Nebraska,31,200663,2183
Utah,49,369490,1890
Oregon,41,154581,2214
Florida,12,1892293,30477
New York,36,1620181,46790
Rhode Island,44,125185,2496
Georgia,13,972984,16663
New Hampshire,33,74568,1163
North Carolina,37,857557,11162
New Jersey,34,778960,23105
Colorado,08,427499,6019
Maryland,24,379648,7805
Nevada,32,292689,4934
Tennessee,47,757505,11228
Hawaii,15,27247,432
Indiana,18,662332,12494
Kentucky,21,405637,4722
Minnesota,27,481899,6518
Oklahoma,40,422156,4302
Pennsylvania,42,928029,23910
South Carolina,45,511546,8443
District of Columbia,11,40122,1005
Kansas,20,296047,4724
Missouri,29,515808,8355
Vermont,50,14840,203
Virginia,51,570982,7963
Connecticut,09,279159,7614
Iowa,19,335222,5438
Louisiana,22,427689,9561
Ohio,39,962404,17128
Michigan,26,642768,16428
South Dakota,46,111964,1872
Arkansas,05,318122,5397
Delaware,10,85801,1406
Mississippi,28,292811,6613
New Mexico,35,184080,3673
North Dakota,38,99651,1471
Wyoming,56,54202,671
Alaska,02,57735,279
Maine,23,44117,701
Alabama,01,491110,9831
Idaho,16,170735,1855
Montana,30,99566,1351
West Virginia,54,130813,2290
