state,fips,cases,deaths
Washington,53,258557,3524
Illinois,17,982105,18322
California,06,2433838,26635
Arizona,04,556384,9061
Massachusetts,25,387662,12610
Wisconsin,55,526245,5264
Texas,48,1810065,28554
Nebraska,31,170037,1708
Utah,49,283473,1301
Oregon,41,117745,1510
Florida,12,1365428,21986
New York,36,1024154,38001
Rhode Island,44,87949,1777
Georgia,13,667705,10616
New Hampshire,33,46450,780
North Carolina,37,565260,6963
New Jersey,34,494063,19208
Colorado,08,342494,4997
Maryland,24,285487,5994
Nevada,32,231869,3195
Tennessee,47,593363,6962
Hawaii,15,22017,287
Indiana,18,529054,8475
Kentucky,21,278478,3013
Minnesota,27,420603,5489
Oklahoma,40,304072,2547
Pennsylvania,42,666207,16324
South Carolina,45,321669,5469
District of Columbia,11,29764,794
Kansas,20,230352,2879
Missouri,29,426489,5928
Vermont,50,7793,140
Virginia,51,363765,5124
Connecticut,09,190120,6099
Iowa,19,284715,3946
Louisiana,22,321058,7537
Ohio,39,721481,9076
Michigan,26,536037,13296
South Dakota,46,100532,1513
Arkansas,05,233475,3749
Delaware,10,59484,930
Mississippi,28,222061,4871
New Mexico,35,146394,2553
North Dakota,38,93048,1317
Wyoming,56,44875,438
Alaska,02,47846,207
Maine,23,25592,359
Alabama,01,371934,4873
Idaho,16,142568,1451
Montana,30,82381,972
West Virginia,54,91058,1376
