state,fips,cases,deaths
Washington,53,373227,5350
Illinois,17,1265309,23673
California,06,3685207,59847
Arizona,04,845488,16997
Massachusetts,25,648023,17337
Wisconsin,55,640913,7350
Texas,48,2811727,48968
Nebraska,31,212533,2290
Utah,49,387874,2137
Oregon,41,167685,2432
Florida,12,2090854,33779
New York,36,1916964,50239
Rhode Island,44,139549,2632
Georgia,13,1042793,18651
New Hampshire,33,86510,1249
North Carolina,37,929278,12211
New Jersey,34,933738,24700
Colorado,08,472941,6194
Maryland,24,419241,8378
Nevada,32,305655,5297
Tennessee,47,803916,11866
Hawaii,15,30479,464
Indiana,18,695532,13084
Kentucky,21,433269,6278
Minnesota,27,530740,6967
Oklahoma,40,440142,4953
Pennsylvania,42,1055498,25291
South Carolina,45,557803,9204
District of Columbia,11,45234,1074
Kansas,20,305508,4927
Missouri,29,588579,8999
Vermont,50,20373,229
Virginia,51,627605,10401
Connecticut,09,317729,7930
Iowa,19,354557,5835
Louisiana,22,446955,10174
Ohio,39,1028800,18741
Michigan,26,785699,17332
South Dakota,46,118680,1938
Arkansas,05,331261,5653
Delaware,10,96806,1567
Mississippi,28,306341,7073
New Mexico,35,192773,3963
North Dakota,38,104005,1499
Wyoming,56,56619,701
Alaska,02,63566,299
Maine,23,52276,746
Alabama,01,517114,10652
Idaho,16,182315,1977
Montana,30,105470,1477
West Virginia,54,144010,2707
