state,fips,cases,deaths
Washington,53,326625,4540
Illinois,17,1150869,21779
California,06,3431072,44440
Arizona,04,783229,14055
Massachusetts,25,545303,15054
Wisconsin,55,601391,6619
Texas,48,2505725,39655
Nebraska,31,194957,2092
Utah,49,355122,1739
Oregon,41,147419,2043
Florida,12,1783712,27814
New York,36,1489453,44512
Rhode Island,44,119104,2236
Georgia,13,919778,14679
New Hampshire,33,68499,1106
North Carolina,37,802820,10030
New Jersey,34,724727,22011
Colorado,08,408793,5832
Maryland,24,364732,7372
Nevada,32,284679,4524
Tennessee,47,731454,10465
Hawaii,15,26428,415
Indiana,18,643898,11875
Kentucky,21,382743,4276
Minnesota,27,468750,6370
Oklahoma,40,404994,3817
Pennsylvania,42,878679,22497
South Carolina,45,468403,7690
District of Columbia,11,38136,956
Kansas,20,286026,4197
Missouri,29,503553,7578
Vermont,50,13046,183
Virginia,51,530825,6820
Connecticut,09,263739,7282
Iowa,19,325219,5110
Louisiana,22,412989,9142
Ohio,39,922143,11695
Michigan,26,622490,15854
South Dakota,46,109283,1809
Arkansas,05,307373,5106
Delaware,10,80931,1208
Mississippi,28,282313,6270
New Mexico,35,177867,3414
North Dakota,38,98210,1454
Wyoming,56,52784,624
Alaska,02,55374,269
Maine,23,41419,636
Alabama,01,473348,8523
Idaho,16,165826,1778
Montana,30,95993,1315
West Virginia,54,125106,2131
