state,fips,cases,deaths
Washington,53,323334,4526
Illinois,17,1143961,21603
California,06,3395682,43631
Arizona,04,777038,13965
Massachusetts,25,537208,14859
Wisconsin,55,598902,6579
Texas,48,2478744,39039
Nebraska,31,194089,2076
Utah,49,352489,1729
Oregon,41,146137,2022
Florida,12,1763865,27456
New York,36,1459066,44012
Rhode Island,44,117891,2212
Georgia,13,909170,14413
New Hampshire,33,67595,1091
North Carolina,37,791457,9880
New Jersey,34,713324,21886
Colorado,08,405200,5804
Maryland,24,360762,7287
Nevada,32,282700,4466
Tennessee,47,724749,10307
Hawaii,15,26221,413
Indiana,18,638314,11686
Kentucky,21,378276,4149
Minnesota,27,466292,6341
Oklahoma,40,399727,3710
Pennsylvania,42,867502,22273
South Carolina,45,459974,7553
District of Columbia,11,37634,940
Kansas,20,284554,4101
Missouri,29,501054,7540
Vermont,50,12612,181
Virginia,51,521467,6732
Connecticut,09,259372,7214
Iowa,19,323797,5067
Louisiana,22,409861,9076
Ohio,39,914530,11571
Michigan,26,619129,15739
South Dakota,46,108944,1798
Arkansas,05,304723,5050
Delaware,10,79546,1191
Mississippi,28,279742,6222
New Mexico,35,176793,3380
North Dakota,38,98120,1451
Wyoming,56,52576,624
Alaska,02,54880,269
Maine,23,40799,632
Alabama,01,469319,8449
Idaho,16,165058,1760
Montana,30,95539,1312
West Virginia,54,123641,2100
