state,fips,cases,deaths
Washington,53,342644,5024
Illinois,17,1189922,22735
California,06,3569459,52213
Arizona,04,817232,15980
Massachusetts,25,581148,16118
Wisconsin,55,617380,7019
Texas,48,2653285,43949
Nebraska,31,201298,2199
Utah,49,371291,1935
Oregon,41,155597,2218
Florida,12,1909213,30851
New York,36,1644124,47143
Rhode Island,44,125622,2502
Georgia,13,981844,16757
New Hampshire,33,75424,1170
North Carolina,37,862635,11241
New Jersey,34,789354,23252
Colorado,08,430970,6045
Maryland,24,382281,7869
Nevada,32,293815,4957
Tennessee,47,761232,11317
Hawaii,15,27473,436
Indiana,18,664880,12573
Kentucky,21,408392,4786
Minnesota,27,484662,6551
Oklahoma,40,424508,4428
Pennsylvania,42,935911,24056
South Carolina,45,516823,8546
District of Columbia,11,40598,1017
Kansas,20,296798,4735
Missouri,29,517071,8382
Vermont,50,15198,204
Virginia,51,576050,8552
Connecticut,09,279946,7622
Iowa,19,336455,5470
Louisiana,22,430100,9608
Ohio,39,967422,17299
Michigan,26,645411,16498
South Dakota,46,112427,1888
Arkansas,05,322415,5243
Delaware,10,86799,1422
Mississippi,28,294795,6681
New Mexico,35,185132,3716
North Dakota,38,99839,1475
Wyoming,56,54394,671
Alaska,02,57846,279
Maine,23,44634,703
Alabama,01,493252,9929
Idaho,16,171209,1862
Montana,30,99999,1358
West Virginia,54,131855,2300
