county,state,fips,cases,deaths
Wright,Missouri,29229,556,1
Worth,Missouri,29227,26,0
Washington,Missouri,29221,596,14
Webster,Missouri,29225,1039,8
Wayne,Missouri,29223,290,1
Stoddard,Missouri,29207,754,15
Shelby,Missouri,29205,96,1
Stone,Missouri,29209,633,7
Shannon,Missouri,29203,196,3
Scott,Missouri,29201,1244,18
Warren,Missouri,29219,643,1
Vernon,Missouri,29217,288,3
Campbell,Wyoming,56005,600,2
Sullivan,Missouri,29211,275,1
Carbon,Wyoming,56007,271,2
Albany,Wyoming,56001,1067,1
Texas,Missouri,29215,517,3
Taney,Missouri,29213,1556,33
Big Horn,Wyoming,56003,157,2
Converse,Wyoming,56009,235,0
Franklin,Kansas,20059,486,3
Ford,Kansas,20057,3240,10
Floyd,Iowa,19067,412,11
Finney,Kansas,20055,2632,16
Franklin,Iowa,19069,369,18
Ellsworth,Kansas,20053,142,0
Emmet,Iowa,19063,393,14
Fayette,Iowa,19065,337,2
Dubuque,Iowa,19061,4638,52
Montgomery,Virginia,51121,2508,5
Nelson,Virginia,51125,125,2
Ellis,Kansas,20051,1273,16
New Kent,Virginia,51127,263,3
Gray,Kansas,20069,163,0
Grant,Kansas,20067,398,8
Guthrie,Iowa,19077,364,14
Graham,Kansas,20065,50,1
Hamilton,Iowa,19079,431,3
Washoe,Nevada,32031,11444,185
Greene,Iowa,19073,171,0
Grundy,Iowa,19075,279,4
Fremont,Iowa,19071,178,1
Northampton,Virginia,51131,312,31
Northumberland,Virginia,51133,208,7
Nottoway,Virginia,51135,329,20
White Pine,Nevada,32033,93,1
Orange,Virginia,51137,371,5
Gove,Kansas,20063,148,9
Page,Virginia,51139,455,30
Geary,Kansas,20061,512,4
Dallas,Iowa,19049,3288,43
Newport,Rhode Island,44005,582,8
Crawford,Kansas,20037,1326,8
Providence,Rhode Island,44007,20439,909
Cowley,Kansas,20035,482,9
Bristol,Rhode Island,44001,461,17
Clinton,Iowa,19045,1346,25
Comanche,Kansas,20033,19,0
Kent,Rhode Island,44003,2145,116
Crawford,Iowa,19047,1303,12
Coffey,Kansas,20031,143,9
Clay,Iowa,19041,481,4
Clayton,Iowa,19043,350,3
Washington,Rhode Island,44009,1119,75
Decatur,Kansas,20039,51,1
Pershing,Nevada,32027,23,0
Patrick,Virginia,51141,301,26
Nye,Nevada,32023,583,16
Pittsylvania,Virginia,51143,1218,15
Mineral,Nevada,32021,14,0
Powhatan,Virginia,51145,280,5
Prince Edward,Virginia,51147,715,13
Prince George,Virginia,51149,1031,6
Storey,Nevada,32029,20,0
Elk,Kansas,20049,13,0
Dickinson,Iowa,19059,683,7
