county,state,fips,cases,deaths
Wright,Missouri,29229,45,0
Worth,Missouri,29227,4,0
Washington,Missouri,29221,28,1
Webster,Missouri,29225,60,1
Wayne,Missouri,29223,5,0
Stoddard,Missouri,29207,162,9
Shelby,Missouri,29205,5,0
Stone,Missouri,29209,32,0
Shannon,Missouri,29203,29,0
Scott,Missouri,29201,235,13
Warren,Missouri,29219,100,0
Vernon,Missouri,29217,38,0
Campbell,Wyoming,56005,93,0
Sullivan,Missouri,29211,121,0
Carbon,Wyoming,56007,29,1
Albany,Wyoming,56001,53,0
Texas,Missouri,29215,14,0
Taney,Missouri,29213,142,3
Big Horn,Wyoming,56003,30,0
Converse,Wyoming,56009,28,0
Franklin,Kansas,20059,104,1
Ford,Kansas,20057,2046,10
Floyd,Iowa,19067,83,2
Finney,Kansas,20055,1613,10
Franklin,Iowa,19069,117,0
Ellsworth,Kansas,20053,14,0
Emmet,Iowa,19063,99,0
Fayette,Iowa,19065,62,0
Dubuque,Iowa,19061,1054,23
Montgomery,Virginia,51121,201,3
Nelson,Virginia,51125,27,0
Ellis,Kansas,20051,67,0
New Kent,Virginia,51127,76,1
Gray,Kansas,20069,36,0
Grant,Kansas,20067,71,2
Guthrie,Iowa,19077,84,4
Graham,Kansas,20065,13,0
Hamilton,Iowa,19079,207,1
Washoe,Nevada,32031,3810,99
Greene,Iowa,19073,31,0
Grundy,Iowa,19075,50,0
Fremont,Iowa,19071,11,0
Northampton,Virginia,51131,275,28
Northumberland,Virginia,51133,47,1
Nottoway,Virginia,51135,135,5
White Pine,Nevada,32033,9,1
Orange,Virginia,51137,167,3
Gove,Kansas,20063,2,0
Page,Virginia,51139,310,23
Geary,Kansas,20061,126,1
Dallas,Iowa,19049,1451,33
Newport,Rhode Island,44005,365,6
Crawford,Kansas,20037,328,1
Providence,Rhode Island,44007,13674,796
Cowley,Kansas,20035,90,1
Bristol,Rhode Island,44001,283,15
Clinton,Iowa,19045,147,1
Comanche,Kansas,20033,3,0
Kent,Rhode Island,44003,1316,101
Crawford,Iowa,19047,682,3
Coffey,Kansas,20031,57,8
Clay,Iowa,19041,152,1
Clayton,Iowa,19043,51,3
Washington,Rhode Island,44009,564,63
Decatur,Kansas,20039,3,0
Pershing,Nevada,32027,13,0
Patrick,Virginia,51141,52,1
Nye,Nevada,32023,198,3
Pittsylvania,Virginia,51143,187,2
Mineral,Nevada,32021,8,0
Powhatan,Virginia,51145,100,3
Prince Edward,Virginia,51147,238,6
Prince George,Virginia,51149,276,2
Storey,Nevada,32029,2,0
Elk,Kansas,20049,1,0
Dickinson,Iowa,19059,312,3
Edwards,Kansas,20047,8,0
Douglas,Kansas,20045,490,0
Delaware,Iowa,19055,57,1
