county,state,fips,cases,deaths
Wright,Missouri,29229,49,0
Worth,Missouri,29227,4,0
Washington,Missouri,29221,39,1
Webster,Missouri,29225,67,1
Wayne,Missouri,29223,5,0
Stoddard,Missouri,29207,165,9
Shelby,Missouri,29205,6,0
Stone,Missouri,29209,36,0
Shannon,Missouri,29203,29,0
Scott,Missouri,29201,240,13
Warren,Missouri,29219,108,0
Vernon,Missouri,29217,38,0
Campbell,Wyoming,56005,93,0
Sullivan,Missouri,29211,122,0
Carbon,Wyoming,56007,31,1
Albany,Wyoming,56001,55,0
Texas,Missouri,29215,16,0
Taney,Missouri,29213,155,3
Big Horn,Wyoming,56003,31,0
Converse,Wyoming,56009,29,0
Franklin,Kansas,20059,115,1
Ford,Kansas,20057,2053,10
Floyd,Iowa,19067,90,2
Finney,Kansas,20055,1624,10
Franklin,Iowa,19069,129,0
Ellsworth,Kansas,20053,14,0
Emmet,Iowa,19063,110,0
Fayette,Iowa,19065,63,0
Dubuque,Iowa,19061,1136,23
Montgomery,Virginia,51121,207,3
Nelson,Virginia,51125,28,0
Ellis,Kansas,20051,80,1
New Kent,Virginia,51127,84,1
Gray,Kansas,20069,39,0
Grant,Kansas,20067,75,2
Guthrie,Iowa,19077,95,4
Graham,Kansas,20065,14,0
Hamilton,Iowa,19079,209,1
Washoe,Nevada,32031,3951,101
Greene,Iowa,19073,34,0
Grundy,Iowa,19075,54,0
Fremont,Iowa,19071,13,0
Northampton,Virginia,51131,277,28
Northumberland,Virginia,51133,49,1
Nottoway,Virginia,51135,142,6
White Pine,Nevada,32033,10,1
Orange,Virginia,51137,171,3
Gove,Kansas,20063,2,0
Page,Virginia,51139,312,23
Geary,Kansas,20061,139,1
Dallas,Iowa,19049,1504,33
Newport,Rhode Island,44005,365,6
Crawford,Kansas,20037,332,1
Providence,Rhode Island,44007,13674,796
Cowley,Kansas,20035,97,1
Bristol,Rhode Island,44001,283,15
Clinton,Iowa,19045,158,1
Comanche,Kansas,20033,3,0
Kent,Rhode Island,44003,1316,101
Crawford,Iowa,19047,686,3
Coffey,Kansas,20031,60,8
Clay,Iowa,19041,155,1
Clayton,Iowa,19043,54,3
Washington,Rhode Island,44009,564,63
Decatur,Kansas,20039,4,0
