county,state,fips,cases,deaths
Wright,Missouri,29229,1365,29
Worth,Missouri,29227,142,1
Washington,Missouri,29221,2122,47
Webster,Missouri,29225,2996,53
Wayne,Missouri,29223,819,10
Stoddard,Missouri,29207,2310,36
Shelby,Missouri,29205,354,7
Stone,Missouri,29209,2030,37
Shannon,Missouri,29203,482,10
Scott,Missouri,29201,3833,76
Warren,Missouri,29219,2657,27
Vernon,Missouri,29217,1391,37
Campbell,Wyoming,56005,4667,57
Sullivan,Missouri,29211,746,14
Carbon,Wyoming,56007,1454,21
Albany,Wyoming,56001,3909,11
Texas,Missouri,29215,1541,22
Taney,Missouri,29213,4590,88
Big Horn,Wyoming,56003,1078,30
Converse,Wyoming,56009,970,17
Franklin,Kansas,20059,2438,37
Ford,Kansas,20057,5577,10
Floyd,Iowa,19067,1470,40
Finney,Kansas,20055,5984,49
Franklin,Iowa,19069,1089,19
Ellsworth,Kansas,20053,1208,4
Emmet,Iowa,19063,1143,40
Fayette,Iowa,19065,1769,35
Dubuque,Iowa,19061,12367,194
Montgomery,Virginia,51121,7723,79
Nelson,Virginia,51125,768,7
Ellis,Kansas,20051,3681,61
New Kent,Virginia,51127,1244,12
Gray,Kansas,20069,602,14
Grant,Kansas,20067,966,17
Guthrie,Iowa,19077,1085,28
Graham,Kansas,20065,249,2
Hamilton,Iowa,19079,1735,42
Washoe,Nevada,32031,42949,642
Greene,Iowa,19073,725,10
Grundy,Iowa,19075,1315,30
Fremont,Iowa,19071,554,9
Northampton,Virginia,51131,719,33
Northumberland,Virginia,51133,668,17
Nottoway,Virginia,51135,1805,38
White Pine,Nevada,32033,549,5
Orange,Virginia,51137,1849,25
Gove,Kansas,20063,376,22
Page,Virginia,51139,1827,49
Geary,Kansas,20061,3025,25
Dallas,Iowa,19049,10111,90
Newport,Rhode Island,44005,5116,34
Crawford,Kansas,20037,4514,80
Providence,Rhode Island,44007,81582,1815
Cowley,Kansas,20035,3805,9
Bristol,Rhode Island,44001,4172,130
Clinton,Iowa,19045,4986,84
Comanche,Kansas,20033,158,9
Kent,Rhode Island,44003,15199,316
Crawford,Iowa,19047,2509,35
Coffey,Kansas,20031,712,14
